Timestamp,ACE_KWH(kW-hr)
18-Jul-23 2:45 PM ICT,1469.6
18-Jul-23 3:00 PM ICT,1485.6
18-Jul-23 3:15 PM ICT,1501.6
18-Jul-23 3:30 PM ICT,1525.6
18-Jul-23 3:45 PM ICT,1557.6
18-Jul-23 4:00 PM ICT,1581.6
18-Jul-23 4:15 PM ICT,1605.6
18-Jul-23 4:30 PM ICT,1613.8
18-Jul-23 4:45 PM ICT,1623.5
18-Jul-23 5:00 PM ICT,1631.5
18-Jul-23 5:15 PM ICT,1639.5
18-Jul-23 5:30 PM ICT,1639.5
18-Jul-23 5:45 PM ICT,1647.5
18-Jul-23 6:00 PM ICT,1655.5
18-Jul-23 6:15 PM ICT,1655.5
18-Jul-23 6:30 PM ICT,1655.5
18-Jul-23 6:45 PM ICT,1650.6
18-Jul-23 7:00 PM ICT,1654.8
18-Jul-23 7:15 PM ICT,1649.7
18-Jul-23 7:30 PM ICT,1649.9
18-Jul-23 7:45 PM ICT,1653.6
18-Jul-23 8:00 PM ICT,1654.8
18-Jul-23 8:15 PM ICT,1652.8
18-Jul-23 8:30 PM ICT,1652.7
18-Jul-23 8:45 PM ICT,1654.1
18-Jul-23 9:00 PM ICT,1650.0
18-Jul-23 9:15 PM ICT,1652.9
18-Jul-23 9:30 PM ICT,1653.4
18-Jul-23 9:45 PM ICT,1648.4
18-Jul-23 10:00 PM ICT,1650.5
18-Jul-23 10:15 PM ICT,1651.3
18-Jul-23 10:30 PM ICT,1654.3
18-Jul-23 10:45 PM ICT,1654.1
18-Jul-23 11:00 PM ICT,1649.1
18-Jul-23 11:15 PM ICT,1651.6
18-Jul-23 11:30 PM ICT,1652.6
18-Jul-23 11:45 PM ICT,1652.5
19-Jul-23 12:00 AM ICT,1649.0
19-Jul-23 12:15 AM ICT,1650.0
19-Jul-23 12:30 AM ICT,1651.6
19-Jul-23 12:45 AM ICT,1654.1
19-Jul-23 1:00 AM ICT,1654.9
19-Jul-23 1:15 AM ICT,1649.7
19-Jul-23 1:30 AM ICT,1648.5
19-Jul-23 1:45 AM ICT,1650.8
19-Jul-23 2:00 AM ICT,1651.6
19-Jul-23 2:15 AM ICT,1652.7
19-Jul-23 2:30 AM ICT,1647.6
19-Jul-23 2:45 AM ICT,1643.0
19-Jul-23 3:00 AM ICT,1643.6
19-Jul-23 3:15 AM ICT,1644.4
19-Jul-23 3:30 AM ICT,1646.7
19-Jul-23 3:45 AM ICT,1642.2
19-Jul-23 4:00 AM ICT,1643.7
19-Jul-23 4:15 AM ICT,1644.1
19-Jul-23 4:30 AM ICT,1646.5
19-Jul-23 4:45 AM ICT,1642.2
19-Jul-23 5:00 AM ICT,1642.4
19-Jul-23 5:15 AM ICT,1645.2
19-Jul-23 5:30 AM ICT,1644.8
19-Jul-23 5:45 AM ICT,1640.5
19-Jul-23 6:00 AM ICT,1647.6
19-Jul-23 6:15 AM ICT,1647.7
19-Jul-23 6:30 AM ICT,1647.7
19-Jul-23 6:45 AM ICT,1655.7
19-Jul-23 7:00 AM ICT,1655.7
19-Jul-23 7:15 AM ICT,1663.7
19-Jul-23 7:30 AM ICT,1671.7
19-Jul-23 7:45 AM ICT,1671.7
19-Jul-23 8:00 AM ICT,1679.7
19-Jul-23 8:15 AM ICT,1695.7
19-Jul-23 8:30 AM ICT,1711.7
19-Jul-23 8:45 AM ICT,1727.7
19-Jul-23 9:00 AM ICT,1751.7
19-Jul-23 9:15 AM ICT,1775.7
19-Jul-23 9:30 AM ICT,1807.7
19-Jul-23 9:45 AM ICT,1839.7
19-Jul-23 10:00 AM ICT,1863.7
19-Jul-23 10:15 AM ICT,1887.7
19-Jul-23 10:30 AM ICT,1919.7
19-Jul-23 10:45 AM ICT,1959.7
19-Jul-23 11:00 AM ICT,2007.7
19-Jul-23 11:15 AM ICT,2039.7
19-Jul-23 11:30 AM ICT,2079.5
19-Jul-23 11:45 AM ICT,2127.5
19-Jul-23 12:00 PM ICT,2175.5
19-Jul-23 12:15 PM ICT,2223.5
19-Jul-23 12:30 PM ICT,2255.5
19-Jul-23 12:45 PM ICT,2303.5
19-Jul-23 1:00 PM ICT,2351.5
19-Jul-23 1:15 PM ICT,2383.5
19-Jul-23 1:30 PM ICT,2415.5
19-Jul-23 1:45 PM ICT,2447.5
19-Jul-23 2:00 PM ICT,2463.5
19-Jul-23 2:15 PM ICT,2479.5
19-Jul-23 2:30 PM ICT,2511.5
19-Jul-23 2:45 PM ICT,2511.5
19-Jul-23 3:00 PM ICT,2543.5
19-Jul-23 3:15 PM ICT,2575.5
19-Jul-23 3:30 PM ICT,2591.5
19-Jul-23 3:45 PM ICT,2623.5
19-Jul-23 4:00 PM ICT,2639.5
19-Jul-23 4:15 PM ICT,2671.5
19-Jul-23 4:30 PM ICT,2687.5
19-Jul-23 4:45 PM ICT,2703.5
19-Jul-23 5:00 PM ICT,2719.5
19-Jul-23 5:15 PM ICT,2735.5
19-Jul-23 5:30 PM ICT,2735.5
19-Jul-23 5:45 PM ICT,2735.5
19-Jul-23 6:00 PM ICT,2751.5
19-Jul-23 6:15 PM ICT,2751.5
19-Jul-23 6:30 PM ICT,2751.5
19-Jul-23 6:45 PM ICT,2739.1
19-Jul-23 7:00 PM ICT,2745.9
19-Jul-23 7:15 PM ICT,2751.0
19-Jul-23 7:30 PM ICT,2741.8
19-Jul-23 7:45 PM ICT,2738.2
19-Jul-23 8:00 PM ICT,2741.6
19-Jul-23 8:15 PM ICT,2749.7
19-Jul-23 8:30 PM ICT,2740.4
19-Jul-23 8:45 PM ICT,2750.6
19-Jul-23 9:00 PM ICT,2742.5
19-Jul-23 9:15 PM ICT,2747.1
19-Jul-23 9:30 PM ICT,2736.3
19-Jul-23 9:45 PM ICT,2749.8
19-Jul-23 10:00 PM ICT,2739.7
19-Jul-23 10:15 PM ICT,2744.1
19-Jul-23 10:30 PM ICT,2750.8
19-Jul-23 10:45 PM ICT,2727.8
19-Jul-23 11:00 PM ICT,2720.1
19-Jul-23 11:15 PM ICT,2727.8
19-Jul-23 11:30 PM ICT,2731.5
19-Jul-23 11:45 PM ICT,2722.0
20-Jul-23 12:00 AM ICT,2735.6
20-Jul-23 12:15 AM ICT,2722.6
20-Jul-23 12:30 AM ICT,2728.6
20-Jul-23 12:45 AM ICT,2734.0
20-Jul-23 1:00 AM ICT,2728.8
20-Jul-23 1:15 AM ICT,2733.7
20-Jul-23 1:30 AM ICT,2725.9
20-Jul-23 1:45 AM ICT,2729.3
20-Jul-23 2:00 AM ICT,2726.7
20-Jul-23 2:15 AM ICT,2733.3
20-Jul-23 2:30 AM ICT,2720.4
20-Jul-23 2:45 AM ICT,2727.7
20-Jul-23 3:00 AM ICT,2735.4
20-Jul-23 3:15 AM ICT,2729.1
20-Jul-23 3:30 AM ICT,2735.6
20-Jul-23 3:45 AM ICT,2722.9
20-Jul-23 4:00 AM ICT,2727.9
20-Jul-23 4:15 AM ICT,2726.8
20-Jul-23 4:30 AM ICT,2730.9
20-Jul-23 4:45 AM ICT,2735.7
20-Jul-23 5:00 AM ICT,2725.1
20-Jul-23 5:15 AM ICT,2720.9
20-Jul-23 5:30 AM ICT,2724.4
20-Jul-23 5:45 AM ICT,2732.0
20-Jul-23 6:00 AM ICT,2727.0
20-Jul-23 6:15 AM ICT,2727.0
20-Jul-23 6:30 AM ICT,2727.0
20-Jul-23 6:45 AM ICT,2743.0
20-Jul-23 7:00 AM ICT,2743.0
20-Jul-23 7:15 AM ICT,2759.0
20-Jul-23 7:30 AM ICT,2759.0
20-Jul-23 7:45 AM ICT,2791.0
20-Jul-23 8:00 AM ICT,2807.0
20-Jul-23 8:15 AM ICT,2839.0
20-Jul-23 8:30 AM ICT,2839.6
20-Jul-23 8:45 AM ICT,2839.6
20-Jul-23 9:00 AM ICT,2856.6
20-Jul-23 9:15 AM ICT,2872.6
20-Jul-23 9:30 AM ICT,2888.6
20-Jul-23 9:45 AM ICT,2904.6
20-Jul-23 10:00 AM ICT,2904.6
20-Jul-23 10:15 AM ICT,2920.6
20-Jul-23 10:30 AM ICT,2922.4
20-Jul-23 10:45 AM ICT,2925.1
20-Jul-23 11:00 AM ICT,2941.1
20-Jul-23 11:15 AM ICT,2941.1
20-Jul-23 11:30 AM ICT,2957.1
20-Jul-23 11:45 AM ICT,2973.1
20-Jul-23 12:00 PM ICT,3005.1
20-Jul-23 12:15 PM ICT,3021.1
20-Jul-23 12:30 PM ICT,3053.1
20-Jul-23 12:45 PM ICT,3101.1
20-Jul-23 1:00 PM ICT,3149.1
20-Jul-23 1:15 PM ICT,3181.1
20-Jul-23 1:30 PM ICT,3213.1
20-Jul-23 1:45 PM ICT,3245.1
20-Jul-23 2:00 PM ICT,3277.1
20-Jul-23 2:15 PM ICT,3309.1
20-Jul-23 2:30 PM ICT,3341.1
20-Jul-23 2:45 PM ICT,3373.1
20-Jul-23 3:00 PM ICT,3405.1
20-Jul-23 3:15 PM ICT,3437.1
20-Jul-23 3:30 PM ICT,3469.1
20-Jul-23 3:45 PM ICT,3501.1
20-Jul-23 4:00 PM ICT,3533.1
20-Jul-23 4:15 PM ICT,3549.1
20-Jul-23 4:30 PM ICT,3549.1
20-Jul-23 4:45 PM ICT,3556.5
20-Jul-23 5:00 PM ICT,3553.0
20-Jul-23 5:15 PM ICT,3553.0
20-Jul-23 5:30 PM ICT,3569.0
20-Jul-23 5:45 PM ICT,3569.0
20-Jul-23 6:00 PM ICT,3569.0
20-Jul-23 6:15 PM ICT,3569.0
20-Jul-23 6:30 PM ICT,3569.0
20-Jul-23 6:45 PM ICT,3572.2
20-Jul-23 7:00 PM ICT,3575.7
20-Jul-23 7:15 PM ICT,3580.3
20-Jul-23 7:30 PM ICT,3571.6
20-Jul-23 7:45 PM ICT,3575.0
20-Jul-23 8:00 PM ICT,3579.5
20-Jul-23 8:15 PM ICT,3582.2
20-Jul-23 8:30 PM ICT,3573.4
20-Jul-23 8:45 PM ICT,3579.3
20-Jul-23 9:00 PM ICT,3582.3
20-Jul-23 9:15 PM ICT,3568.6
20-Jul-23 9:30 PM ICT,3578.8
20-Jul-23 9:45 PM ICT,3582.0
20-Jul-23 10:00 PM ICT,3568.4
20-Jul-23 10:15 PM ICT,3574.8
20-Jul-23 10:30 PM ICT,3578.6
20-Jul-23 10:45 PM ICT,3581.6
20-Jul-23 11:00 PM ICT,3575.0
20-Jul-23 11:15 PM ICT,3575.7
20-Jul-23 11:30 PM ICT,3581.6
20-Jul-23 11:45 PM ICT,3577.5
21-Jul-23 12:00 AM ICT,3581.3
21-Jul-23 12:15 AM ICT,3568.0
21-Jul-23 12:30 AM ICT,3572.0
21-Jul-23 12:45 AM ICT,3580.5
21-Jul-23 1:00 AM ICT,3582.7
21-Jul-23 1:15 AM ICT,3570.6
21-Jul-23 1:30 AM ICT,3576.8
21-Jul-23 1:45 AM ICT,3580.7
21-Jul-23 2:00 AM ICT,3582.6
21-Jul-23 2:15 AM ICT,3572.5
21-Jul-23 2:30 AM ICT,3580.4
21-Jul-23 2:45 AM ICT,3574.8
21-Jul-23 3:00 AM ICT,3571.2
21-Jul-23 3:15 AM ICT,3580.1
21-Jul-23 3:30 AM ICT,3573.6
21-Jul-23 3:45 AM ICT,3583.7
21-Jul-23 4:00 AM ICT,3579.4
21-Jul-23 4:15 AM ICT,3573.2
21-Jul-23 4:30 AM ICT,3582.5
21-Jul-23 4:45 AM ICT,3576.5
21-Jul-23 5:00 AM ICT,3569.4
21-Jul-23 5:15 AM ICT,3579.6
21-Jul-23 5:30 AM ICT,3575.4
21-Jul-23 5:45 AM ICT,3583.1
21-Jul-23 6:00 AM ICT,3570.8
21-Jul-23 6:15 AM ICT,3570.8
21-Jul-23 6:30 AM ICT,3570.8
21-Jul-23 6:45 AM ICT,3570.8
21-Jul-23 7:00 AM ICT,3586.8
21-Jul-23 7:15 AM ICT,3586.8
21-Jul-23 7:30 AM ICT,3602.8
21-Jul-23 7:45 AM ICT,3602.8
21-Jul-23 8:00 AM ICT,3625.3
21-Jul-23 8:15 AM ICT,3627.3
21-Jul-23 8:30 AM ICT,3619.6
21-Jul-23 8:45 AM ICT,3620.9
21-Jul-23 9:00 AM ICT,3636.9
21-Jul-23 9:15 AM ICT,3668.9
21-Jul-23 9:30 AM ICT,3684.9
21-Jul-23 9:45 AM ICT,3700.9
21-Jul-23 10:00 AM ICT,3748.9
21-Jul-23 10:15 AM ICT,3764.9
21-Jul-23 10:30 AM ICT,3796.9
21-Jul-23 10:45 AM ICT,3812.9
21-Jul-23 11:00 AM ICT,3860.9
21-Jul-23 11:15 AM ICT,3908.9
21-Jul-23 11:30 AM ICT,3956.9
21-Jul-23 11:45 AM ICT,3988.9
21-Jul-23 12:00 PM ICT,4004.9
21-Jul-23 12:15 PM ICT,4005.4
21-Jul-23 12:30 PM ICT,4037.4
21-Jul-23 12:45 PM ICT,4085.4
21-Jul-23 1:00 PM ICT,4106.8
21-Jul-23 1:15 PM ICT,4106.8
21-Jul-23 1:30 PM ICT,4138.8
21-Jul-23 1:45 PM ICT,4170.8
21-Jul-23 2:00 PM ICT,4202.8
21-Jul-23 2:15 PM ICT,4234.8
21-Jul-23 2:30 PM ICT,4266.8
21-Jul-23 2:45 PM ICT,4266.8
21-Jul-23 3:00 PM ICT,4330.8
21-Jul-23 3:15 PM ICT,4362.8
21-Jul-23 3:30 PM ICT,4362.8
21-Jul-23 3:45 PM ICT,4394.8
21-Jul-23 4:00 PM ICT,4426.8
21-Jul-23 4:15 PM ICT,4426.8
21-Jul-23 4:30 PM ICT,4426.8
21-Jul-23 4:45 PM ICT,4443.3
21-Jul-23 5:00 PM ICT,4440.4
21-Jul-23 5:15 PM ICT,4446.0
21-Jul-23 5:30 PM ICT,4430.1
21-Jul-23 5:45 PM ICT,4417.7
21-Jul-23 6:00 PM ICT,4431.4
21-Jul-23 6:15 PM ICT,4437.9
21-Jul-23 6:30 PM ICT,4429.4
21-Jul-23 6:45 PM ICT,4445.3
21-Jul-23 7:00 PM ICT,4435.5
21-Jul-23 7:15 PM ICT,4430.0
21-Jul-23 7:30 PM ICT,4418.3
21-Jul-23 7:45 PM ICT,4440.8
21-Jul-23 8:00 PM ICT,4433.7
21-Jul-23 8:15 PM ICT,4423.7
21-Jul-23 8:30 PM ICT,4442.8
21-Jul-23 8:45 PM ICT,4434.4
21-Jul-23 9:00 PM ICT,4426.6
21-Jul-23 9:15 PM ICT,4416.0
21-Jul-23 9:30 PM ICT,4437.4
21-Jul-23 9:45 PM ICT,4425.3
21-Jul-23 10:00 PM ICT,4418.3
21-Jul-23 10:15 PM ICT,4428.2
21-Jul-23 10:30 PM ICT,4438.7
21-Jul-23 10:45 PM ICT,4417.3
21-Jul-23 11:00 PM ICT,4429.2
21-Jul-23 11:15 PM ICT,4440.2
21-Jul-23 11:30 PM ICT,4419.1
21-Jul-23 11:45 PM ICT,4428.9
22-Jul-23 12:00 AM ICT,4440.2
22-Jul-23 12:15 AM ICT,4419.8
22-Jul-23 12:30 AM ICT,4430.6
22-Jul-23 12:45 AM ICT,4440.6
22-Jul-23 1:00 AM ICT,4420.2
22-Jul-23 1:15 AM ICT,4431.0
22-Jul-23 1:30 AM ICT,4410.8
22-Jul-23 1:45 AM ICT,4388.7
22-Jul-23 2:00 AM ICT,4398.7
22-Jul-23 2:15 AM ICT,4410.2
22-Jul-23 2:30 AM ICT,4390.3
22-Jul-23 2:45 AM ICT,4399.8
22-Jul-23 3:00 AM ICT,4412.0
22-Jul-23 3:15 AM ICT,4389.4
22-Jul-23 3:30 AM ICT,4401.2
22-Jul-23 3:45 AM ICT,4411.5
22-Jul-23 4:00 AM ICT,4391.3
22-Jul-23 4:15 AM ICT,4401.7
22-Jul-23 4:30 AM ICT,4413.8
22-Jul-23 4:45 AM ICT,4391.0
