Timestamp,BP_KWH(kW-hr)
18-Jul-23 2:45 PM ICT,230.4
18-Jul-23 3:00 PM ICT,239.9
18-Jul-23 3:15 PM ICT,248.0
18-Jul-23 3:30 PM ICT,258.8
18-Jul-23 3:45 PM ICT,270.4
18-Jul-23 4:00 PM ICT,324.9
18-Jul-23 4:15 PM ICT,333.9
18-Jul-23 4:30 PM ICT,344.8
18-Jul-23 4:45 PM ICT,350.4
18-Jul-23 5:00 PM ICT,357.7
18-Jul-23 5:15 PM ICT,356.4
18-Jul-23 5:30 PM ICT,356.6
18-Jul-23 5:45 PM ICT,358.8
18-Jul-23 6:00 PM ICT,359.0
18-Jul-23 6:15 PM ICT,359.2
18-Jul-23 6:30 PM ICT,359.5
18-Jul-23 6:45 PM ICT,359.8
18-Jul-23 7:00 PM ICT,360.0
18-Jul-23 7:15 PM ICT,358.1
18-Jul-23 7:30 PM ICT,358.2
18-Jul-23 7:45 PM ICT,358.4
18-Jul-23 8:00 PM ICT,358.5
18-Jul-23 8:15 PM ICT,358.6
18-Jul-23 8:30 PM ICT,358.7
18-Jul-23 8:45 PM ICT,358.9
18-Jul-23 9:00 PM ICT,361.0
18-Jul-23 9:15 PM ICT,361.1
18-Jul-23 9:30 PM ICT,361.2
18-Jul-23 9:45 PM ICT,361.4
18-Jul-23 10:00 PM ICT,361.5
18-Jul-23 10:15 PM ICT,361.6
18-Jul-23 10:30 PM ICT,361.7
18-Jul-23 10:45 PM ICT,361.9
18-Jul-23 11:00 PM ICT,362.0
18-Jul-23 11:15 PM ICT,362.1
18-Jul-23 11:30 PM ICT,360.2
18-Jul-23 11:45 PM ICT,360.3
19-Jul-23 12:00 AM ICT,360.4
19-Jul-23 12:15 AM ICT,360.6
19-Jul-23 12:30 AM ICT,360.7
19-Jul-23 12:45 AM ICT,360.8
19-Jul-23 1:00 AM ICT,360.9
19-Jul-23 1:15 AM ICT,361.0
19-Jul-23 1:30 AM ICT,361.2
19-Jul-23 1:45 AM ICT,361.3
19-Jul-23 2:00 AM ICT,363.4
19-Jul-23 2:15 AM ICT,363.5
19-Jul-23 2:30 AM ICT,363.7
19-Jul-23 2:45 AM ICT,363.8
19-Jul-23 3:00 AM ICT,363.9
19-Jul-23 3:15 AM ICT,364.0
19-Jul-23 3:30 AM ICT,362.2
19-Jul-23 3:45 AM ICT,362.3
19-Jul-23 4:00 AM ICT,362.4
19-Jul-23 4:15 AM ICT,362.5
19-Jul-23 4:30 AM ICT,362.7
19-Jul-23 4:45 AM ICT,362.8
19-Jul-23 5:00 AM ICT,362.9
19-Jul-23 5:15 AM ICT,363.0
19-Jul-23 5:30 AM ICT,363.2
19-Jul-23 5:45 AM ICT,363.2
19-Jul-23 6:00 AM ICT,363.3
19-Jul-23 6:15 AM ICT,363.3
19-Jul-23 6:30 AM ICT,363.4
19-Jul-23 6:45 AM ICT,363.5
19-Jul-23 7:00 AM ICT,365.7
19-Jul-23 7:15 AM ICT,365.9
19-Jul-23 7:30 AM ICT,364.1
19-Jul-23 7:45 AM ICT,365.1
19-Jul-23 8:00 AM ICT,367.6
19-Jul-23 8:15 AM ICT,372.7
19-Jul-23 8:30 AM ICT,378.4
19-Jul-23 8:45 AM ICT,387.2
19-Jul-23 9:00 AM ICT,395.9
19-Jul-23 9:15 AM ICT,403.4
19-Jul-23 9:30 AM ICT,410.8
19-Jul-23 9:45 AM ICT,420.2
19-Jul-23 10:00 AM ICT,429.9
19-Jul-23 10:15 AM ICT,438.5
19-Jul-23 10:30 AM ICT,451.9
19-Jul-23 10:45 AM ICT,463.3
19-Jul-23 11:00 AM ICT,472.1
19-Jul-23 11:15 AM ICT,485.6
19-Jul-23 11:30 AM ICT,494.8
19-Jul-23 11:45 AM ICT,506.0
19-Jul-23 12:00 PM ICT,513.8
19-Jul-23 12:15 PM ICT,516.2
19-Jul-23 12:30 PM ICT,520.3
19-Jul-23 12:45 PM ICT,524.4
19-Jul-23 1:00 PM ICT,528.5
19-Jul-23 1:15 PM ICT,536.0
19-Jul-23 1:30 PM ICT,544.9
