Timestamp,BP_Perday(kW-hr)
18-Jul-23 3:30 PM ICT,14.5
18-Jul-23 3:45 PM ICT,26.2
18-Jul-23 4:00 PM ICT,80.7
18-Jul-23 4:15 PM ICT,89.7
18-Jul-23 4:30 PM ICT,100.5
18-Jul-23 4:45 PM ICT,106.1
18-Jul-23 5:00 PM ICT,113.5
18-Jul-23 5:15 PM ICT,112.1
18-Jul-23 5:30 PM ICT,112.4
18-Jul-23 5:45 PM ICT,114.6
18-Jul-23 6:00 PM ICT,114.8
18-Jul-23 6:15 PM ICT,115.0
18-Jul-23 6:30 PM ICT,115.3
18-Jul-23 6:45 PM ICT,115.6
18-Jul-23 7:00 PM ICT,115.8
18-Jul-23 7:15 PM ICT,113.9
18-Jul-23 7:30 PM ICT,114.0
18-Jul-23 7:45 PM ICT,114.1
18-Jul-23 8:00 PM ICT,114.3
18-Jul-23 8:15 PM ICT,114.4
18-Jul-23 8:30 PM ICT,114.5
18-Jul-23 8:45 PM ICT,114.6
18-Jul-23 9:00 PM ICT,116.8
18-Jul-23 9:15 PM ICT,116.9
18-Jul-23 9:30 PM ICT,117.0
18-Jul-23 9:45 PM ICT,117.2
18-Jul-23 10:00 PM ICT,117.3
18-Jul-23 10:15 PM ICT,117.4
18-Jul-23 10:30 PM ICT,117.5
18-Jul-23 10:45 PM ICT,117.6
18-Jul-23 11:00 PM ICT,117.8
18-Jul-23 11:15 PM ICT,117.9
18-Jul-23 11:30 PM ICT,116.0
18-Jul-23 11:45 PM ICT,116.1
19-Jul-23 12:00 AM ICT,116.2
19-Jul-23 12:15 AM ICT,0.1
19-Jul-23 12:30 AM ICT,0.2
19-Jul-23 12:45 AM ICT,0.4
19-Jul-23 1:00 AM ICT,0.5
19-Jul-23 1:15 AM ICT,0.6
19-Jul-23 1:30 AM ICT,0.7
19-Jul-23 1:45 AM ICT,0.8
19-Jul-23 2:00 AM ICT,3.0
19-Jul-23 2:15 AM ICT,3.1
19-Jul-23 2:30 AM ICT,3.2
19-Jul-23 2:45 AM ICT,3.3
19-Jul-23 3:00 AM ICT,3.5
19-Jul-23 3:15 AM ICT,3.6
19-Jul-23 3:30 AM ICT,1.7
19-Jul-23 3:45 AM ICT,1.8
19-Jul-23 4:00 AM ICT,2.0
19-Jul-23 4:15 AM ICT,2.1
19-Jul-23 4:30 AM ICT,2.2
19-Jul-23 4:45 AM ICT,2.3
