Timestamp,GS_KW(kW)
01-Nov-23 1:05 AM ICT,2.2
01-Nov-23 1:10 AM ICT,2.1
01-Nov-23 1:15 AM ICT,2.1
01-Nov-23 1:20 AM ICT,2.2
01-Nov-23 1:25 AM ICT,2.3
01-Nov-23 1:30 AM ICT,2.3
01-Nov-23 1:35 AM ICT,2.2
01-Nov-23 1:40 AM ICT,2.2
01-Nov-23 1:45 AM ICT,2.3
01-Nov-23 1:50 AM ICT,2.3
01-Nov-23 1:55 AM ICT,2.3
01-Nov-23 2:00 AM ICT,2.2
01-Nov-23 2:05 AM ICT,2.2
01-Nov-23 2:10 AM ICT,2.3
01-Nov-23 2:15 AM ICT,2.3
01-Nov-23 2:20 AM ICT,2.4
01-Nov-23 2:25 AM ICT,2.4
01-Nov-23 2:30 AM ICT,2.4
01-Nov-23 2:35 AM ICT,2.4
01-Nov-23 2:40 AM ICT,2.3
01-Nov-23 2:45 AM ICT,2.3
01-Nov-23 2:50 AM ICT,2.3
01-Nov-23 2:55 AM ICT,2.3
01-Nov-23 3:00 AM ICT,2.3
01-Nov-23 3:05 AM ICT,2.2
01-Nov-23 3:10 AM ICT,2.2
01-Nov-23 3:15 AM ICT,2.2
01-Nov-23 3:20 AM ICT,2.2
01-Nov-23 3:25 AM ICT,2.2
01-Nov-23 3:30 AM ICT,2.2
01-Nov-23 3:35 AM ICT,2.2
01-Nov-23 3:40 AM ICT,2.4
01-Nov-23 3:45 AM ICT,2.3
01-Nov-23 3:50 AM ICT,2.3
01-Nov-23 3:55 AM ICT,2.3
01-Nov-23 4:00 AM ICT,2.3
01-Nov-23 4:05 AM ICT,2.2
01-Nov-23 4:10 AM ICT,2.3
01-Nov-23 4:15 AM ICT,2.3
01-Nov-23 4:20 AM ICT,2.2
01-Nov-23 4:25 AM ICT,2.2
01-Nov-23 4:30 AM ICT,2.3
01-Nov-23 4:35 AM ICT,2.3
01-Nov-23 4:40 AM ICT,2.3
01-Nov-23 4:45 AM ICT,2.3
01-Nov-23 4:50 AM ICT,2.4
01-Nov-23 4:55 AM ICT,2.4
01-Nov-23 5:00 AM ICT,2.4
01-Nov-23 5:05 AM ICT,2.4
01-Nov-23 5:10 AM ICT,2.2
01-Nov-23 5:15 AM ICT,2.1
01-Nov-23 5:20 AM ICT,1.9
01-Nov-23 5:25 AM ICT,1.3
01-Nov-23 5:30 AM ICT,0.9
01-Nov-23 5:35 AM ICT,1.0
01-Nov-23 5:40 AM ICT,1.0
01-Nov-23 5:45 AM ICT,0.9
01-Nov-23 5:50 AM ICT,1.0
01-Nov-23 5:55 AM ICT,1.0
01-Nov-23 6:00 AM ICT,1.0
01-Nov-23 6:05 AM ICT,1.1
01-Nov-23 6:10 AM ICT,1.1
01-Nov-23 6:15 AM ICT,1.1
01-Nov-23 6:20 AM ICT,1.0
01-Nov-23 6:25 AM ICT,1.0
01-Nov-23 6:30 AM ICT,1.1
01-Nov-23 6:35 AM ICT,1.1
01-Nov-23 6:40 AM ICT,1.0
01-Nov-23 6:45 AM ICT,1.2
01-Nov-23 6:50 AM ICT,1.3
01-Nov-23 6:55 AM ICT,1.3
01-Nov-23 7:00 AM ICT,1.4
01-Nov-23 7:05 AM ICT,1.4
01-Nov-23 7:10 AM ICT,1.4
01-Nov-23 7:15 AM ICT,1.4
01-Nov-23 7:20 AM ICT,10.3
01-Nov-23 7:25 AM ICT,3.2
01-Nov-23 7:30 AM ICT,3.3
01-Nov-23 7:35 AM ICT,6.4
01-Nov-23 7:40 AM ICT,3.2
01-Nov-23 7:45 AM ICT,3.9
01-Nov-23 7:50 AM ICT,4.6
01-Nov-23 7:55 AM ICT,7.2
01-Nov-23 8:00 AM ICT,6.8
01-Nov-23 8:05 AM ICT,11.1
01-Nov-23 8:10 AM ICT,15.9
01-Nov-23 8:15 AM ICT,15.6
01-Nov-23 8:20 AM ICT,22.5
01-Nov-23 8:25 AM ICT,32.3
01-Nov-23 8:30 AM ICT,38.1
01-Nov-23 8:35 AM ICT,33.7
01-Nov-23 8:40 AM ICT,33.9
01-Nov-23 8:45 AM ICT,40.3
01-Nov-23 8:50 AM ICT,40.2
01-Nov-23 8:55 AM ICT,49.1
01-Nov-23 9:00 AM ICT,48.7
01-Nov-23 9:05 AM ICT,50.9
01-Nov-23 9:10 AM ICT,55.6
01-Nov-23 9:15 AM ICT,53.2
01-Nov-23 9:20 AM ICT,54.1
01-Nov-23 9:25 AM ICT,47.1
01-Nov-23 9:30 AM ICT,51.0
01-Nov-23 9:35 AM ICT,50.0
01-Nov-23 9:40 AM ICT,48.5
01-Nov-23 9:45 AM ICT,48.7
01-Nov-23 9:50 AM ICT,58.8
01-Nov-23 9:55 AM ICT,53.8
01-Nov-23 10:00 AM ICT,51.5
01-Nov-23 10:05 AM ICT,47.8
01-Nov-23 10:10 AM ICT,49.5
01-Nov-23 10:15 AM ICT,54.0
01-Nov-23 10:20 AM ICT,59.2
01-Nov-23 10:25 AM ICT,59.9
01-Nov-23 10:30 AM ICT,57.3
01-Nov-23 10:35 AM ICT,58.6
01-Nov-23 10:40 AM ICT,54.4
01-Nov-23 10:45 AM ICT,54.5
01-Nov-23 10:50 AM ICT,50.7
01-Nov-23 10:55 AM ICT,51.1
01-Nov-23 11:00 AM ICT,55.6
01-Nov-23 11:05 AM ICT,59.0
01-Nov-23 11:10 AM ICT,57.0
01-Nov-23 11:15 AM ICT,53.5
01-Nov-23 11:20 AM ICT,54.6
01-Nov-23 11:25 AM ICT,51.7
01-Nov-23 11:30 AM ICT,56.2
01-Nov-23 11:35 AM ICT,57.0
01-Nov-23 11:40 AM ICT,53.2
01-Nov-23 11:45 AM ICT,53.2
01-Nov-23 11:50 AM ICT,51.0
01-Nov-23 11:55 AM ICT,48.9
01-Nov-23 12:00 PM ICT,40.5
01-Nov-23 12:05 PM ICT,35.2
01-Nov-23 12:10 PM ICT,40.2
01-Nov-23 12:15 PM ICT,39.6
01-Nov-23 12:20 PM ICT,39.1
01-Nov-23 12:25 PM ICT,37.6
01-Nov-23 12:30 PM ICT,39.6
01-Nov-23 12:35 PM ICT,38.3
01-Nov-23 12:40 PM ICT,37.5
01-Nov-23 12:45 PM ICT,41.3
01-Nov-23 12:50 PM ICT,38.6
01-Nov-23 12:55 PM ICT,44.9
01-Nov-23 1:00 PM ICT,37.3
01-Nov-23 1:05 PM ICT,42.3
01-Nov-23 1:10 PM ICT,47.2
01-Nov-23 1:15 PM ICT,49.3
01-Nov-23 1:20 PM ICT,49.5
01-Nov-23 1:25 PM ICT,51.0
01-Nov-23 1:30 PM ICT,52.9
01-Nov-23 1:35 PM ICT,54.9
01-Nov-23 1:40 PM ICT,55.3
01-Nov-23 1:45 PM ICT,59.4
01-Nov-23 1:50 PM ICT,56.6
01-Nov-23 1:55 PM ICT,61.2
01-Nov-23 2:00 PM ICT,54.5
01-Nov-23 2:05 PM ICT,58.3
01-Nov-23 2:10 PM ICT,57.3
01-Nov-23 2:15 PM ICT,58.5
01-Nov-23 2:20 PM ICT,62.3
01-Nov-23 2:25 PM ICT,61.8
01-Nov-23 2:30 PM ICT,62.4
01-Nov-23 2:35 PM ICT,65.7
01-Nov-23 2:40 PM ICT,59.8
01-Nov-23 2:45 PM ICT,56.9
01-Nov-23 2:50 PM ICT,62.8
01-Nov-23 2:55 PM ICT,64.6
01-Nov-23 3:00 PM ICT,61.4
01-Nov-23 3:05 PM ICT,60.5
01-Nov-23 3:10 PM ICT,65.4
01-Nov-23 3:15 PM ICT,64.7
01-Nov-23 3:20 PM ICT,69.9
01-Nov-23 3:25 PM ICT,66.7
01-Nov-23 3:30 PM ICT,63.0
01-Nov-23 3:35 PM ICT,62.2
01-Nov-23 3:40 PM ICT,56.4
01-Nov-23 3:45 PM ICT,54.2
01-Nov-23 3:50 PM ICT,55.7
01-Nov-23 3:55 PM ICT,54.6
01-Nov-23 4:00 PM ICT,57.3
01-Nov-23 4:05 PM ICT,56.5
01-Nov-23 4:10 PM ICT,57.2
01-Nov-23 4:15 PM ICT,51.8
01-Nov-23 4:20 PM ICT,56.1
01-Nov-23 4:25 PM ICT,53.5
01-Nov-23 4:30 PM ICT,53.0
01-Nov-23 4:35 PM ICT,56.2
01-Nov-23 4:40 PM ICT,51.0
01-Nov-23 4:45 PM ICT,49.5
01-Nov-23 4:50 PM ICT,45.7
01-Nov-23 4:55 PM ICT,31.1
01-Nov-23 5:00 PM ICT,18.4
01-Nov-23 5:05 PM ICT,6.9
01-Nov-23 5:10 PM ICT,3.3
01-Nov-23 5:15 PM ICT,2.3
01-Nov-23 5:20 PM ICT,2.1
01-Nov-23 5:25 PM ICT,2.0
01-Nov-23 5:30 PM ICT,1.9
01-Nov-23 5:35 PM ICT,1.9
01-Nov-23 5:40 PM ICT,1.9
01-Nov-23 5:45 PM ICT,1.9
01-Nov-23 5:50 PM ICT,2.0
01-Nov-23 5:55 PM ICT,2.7
01-Nov-23 6:00 PM ICT,3.0
01-Nov-23 6:05 PM ICT,3.0
