Timestamp,GS_KWH(kW-hr)
18-Jul-23 2:45 PM ICT,727.9
18-Jul-23 3:00 PM ICT,741.6
18-Jul-23 3:15 PM ICT,754.7
18-Jul-23 3:30 PM ICT,769.5
18-Jul-23 3:45 PM ICT,784.8
18-Jul-23 4:00 PM ICT,801.0
18-Jul-23 4:15 PM ICT,816.7
18-Jul-23 4:30 PM ICT,831.6
18-Jul-23 4:45 PM ICT,844.5
18-Jul-23 5:00 PM ICT,853.2
18-Jul-23 5:15 PM ICT,856.5
18-Jul-23 5:30 PM ICT,857.4
18-Jul-23 5:45 PM ICT,858.0
18-Jul-23 6:00 PM ICT,858.5
18-Jul-23 6:15 PM ICT,859.1
18-Jul-23 6:30 PM ICT,859.7
18-Jul-23 6:45 PM ICT,860.5
18-Jul-23 7:00 PM ICT,861.3
18-Jul-23 7:15 PM ICT,862.1
18-Jul-23 7:30 PM ICT,863.0
18-Jul-23 7:45 PM ICT,863.8
18-Jul-23 8:00 PM ICT,864.6
18-Jul-23 8:15 PM ICT,865.3
18-Jul-23 8:30 PM ICT,866.0
18-Jul-23 8:45 PM ICT,866.6
18-Jul-23 9:00 PM ICT,867.3
18-Jul-23 9:15 PM ICT,864.0
18-Jul-23 9:30 PM ICT,868.7
18-Jul-23 9:45 PM ICT,869.4
18-Jul-23 10:00 PM ICT,870.0
18-Jul-23 10:15 PM ICT,870.7
18-Jul-23 10:30 PM ICT,871.4
18-Jul-23 10:45 PM ICT,868.0
18-Jul-23 11:00 PM ICT,872.6
18-Jul-23 11:15 PM ICT,873.3
18-Jul-23 11:30 PM ICT,874.0
18-Jul-23 11:45 PM ICT,874.6
19-Jul-23 12:00 AM ICT,875.3
19-Jul-23 12:15 AM ICT,872.0
19-Jul-23 12:30 AM ICT,876.7
19-Jul-23 12:45 AM ICT,877.4
19-Jul-23 1:00 AM ICT,878.0
19-Jul-23 1:15 AM ICT,878.6
19-Jul-23 1:30 AM ICT,879.3
19-Jul-23 1:45 AM ICT,880.0
19-Jul-23 2:00 AM ICT,880.6
19-Jul-23 2:15 AM ICT,881.3
19-Jul-23 2:30 AM ICT,881.9
19-Jul-23 2:45 AM ICT,882.5
19-Jul-23 3:00 AM ICT,883.1
19-Jul-23 3:15 AM ICT,883.7
19-Jul-23 3:30 AM ICT,884.2
19-Jul-23 3:45 AM ICT,884.8
19-Jul-23 4:00 AM ICT,885.3
19-Jul-23 4:15 AM ICT,885.9
19-Jul-23 4:30 AM ICT,886.5
19-Jul-23 4:45 AM ICT,887.0
19-Jul-23 5:00 AM ICT,887.6
19-Jul-23 5:15 AM ICT,888.1
19-Jul-23 5:30 AM ICT,888.5
19-Jul-23 5:45 AM ICT,888.8
19-Jul-23 6:00 AM ICT,889.1
19-Jul-23 6:15 AM ICT,889.4
19-Jul-23 6:30 AM ICT,889.7
19-Jul-23 6:45 AM ICT,890.0
19-Jul-23 7:00 AM ICT,890.3
19-Jul-23 7:15 AM ICT,890.7
19-Jul-23 7:30 AM ICT,891.4
19-Jul-23 7:45 AM ICT,892.2
19-Jul-23 8:00 AM ICT,894.7
19-Jul-23 8:15 AM ICT,898.1
19-Jul-23 8:30 AM ICT,905.0
19-Jul-23 8:45 AM ICT,915.1
19-Jul-23 9:00 AM ICT,924.5
19-Jul-23 9:15 AM ICT,936.6
19-Jul-23 9:30 AM ICT,951.2
19-Jul-23 9:45 AM ICT,967.4
19-Jul-23 10:00 AM ICT,981.9
19-Jul-23 10:15 AM ICT,996.9
19-Jul-23 10:30 AM ICT,1014.1
19-Jul-23 10:45 AM ICT,1033.3
19-Jul-23 11:00 AM ICT,1052.1
19-Jul-23 11:15 AM ICT,1070.7
19-Jul-23 11:30 AM ICT,1086.5
19-Jul-23 11:45 AM ICT,1102.7
19-Jul-23 12:00 PM ICT,1117.5
19-Jul-23 12:15 PM ICT,1128.0
19-Jul-23 12:30 PM ICT,1137.5
19-Jul-23 12:45 PM ICT,1146.9
19-Jul-23 1:00 PM ICT,1156.4
19-Jul-23 1:15 PM ICT,1166.7
19-Jul-23 1:30 PM ICT,1180.4
19-Jul-23 1:45 PM ICT,1193.6
19-Jul-23 2:00 PM ICT,1207.5
19-Jul-23 2:15 PM ICT,1222.0
19-Jul-23 2:30 PM ICT,1237.5
19-Jul-23 2:45 PM ICT,1253.3
19-Jul-23 3:00 PM ICT,1268.6
19-Jul-23 3:15 PM ICT,1282.3
19-Jul-23 3:30 PM ICT,1296.9
19-Jul-23 3:45 PM ICT,1311.4
19-Jul-23 4:00 PM ICT,1324.7
19-Jul-23 4:15 PM ICT,1337.1
19-Jul-23 4:30 PM ICT,1346.3
19-Jul-23 4:45 PM ICT,1355.1
19-Jul-23 5:00 PM ICT,1363.3
19-Jul-23 5:15 PM ICT,1367.7
19-Jul-23 5:30 PM ICT,1368.8
19-Jul-23 5:45 PM ICT,1369.3
19-Jul-23 6:00 PM ICT,1369.8
19-Jul-23 6:15 PM ICT,1370.3
19-Jul-23 6:30 PM ICT,1370.8
19-Jul-23 6:45 PM ICT,1371.4
19-Jul-23 7:00 PM ICT,1372.1
19-Jul-23 7:15 PM ICT,1372.9
19-Jul-23 7:30 PM ICT,1373.6
19-Jul-23 7:45 PM ICT,1374.4
19-Jul-23 8:00 PM ICT,1375.1
19-Jul-23 8:15 PM ICT,1375.8
19-Jul-23 8:30 PM ICT,1376.6
19-Jul-23 8:45 PM ICT,1377.3
19-Jul-23 9:00 PM ICT,1378.1
19-Jul-23 9:15 PM ICT,1378.8
19-Jul-23 9:30 PM ICT,1379.5
19-Jul-23 9:45 PM ICT,1380.3
19-Jul-23 10:00 PM ICT,1381.0
19-Jul-23 10:15 PM ICT,1381.8
19-Jul-23 10:30 PM ICT,1382.5
19-Jul-23 10:45 PM ICT,1383.2
19-Jul-23 11:00 PM ICT,1383.9
19-Jul-23 11:15 PM ICT,1384.6
19-Jul-23 11:30 PM ICT,1385.4
19-Jul-23 11:45 PM ICT,1386.1
20-Jul-23 12:00 AM ICT,1386.9
20-Jul-23 12:15 AM ICT,1387.6
20-Jul-23 12:30 AM ICT,1388.3
20-Jul-23 12:45 AM ICT,1389.0
20-Jul-23 1:00 AM ICT,1389.7
20-Jul-23 1:15 AM ICT,1390.3
20-Jul-23 1:30 AM ICT,1391.0
20-Jul-23 1:45 AM ICT,1391.7
20-Jul-23 2:00 AM ICT,1392.3
20-Jul-23 2:15 AM ICT,1392.9
20-Jul-23 2:30 AM ICT,1393.5
20-Jul-23 2:45 AM ICT,1394.1
20-Jul-23 3:00 AM ICT,1394.7
20-Jul-23 3:15 AM ICT,1395.3
20-Jul-23 3:30 AM ICT,1395.9
20-Jul-23 3:45 AM ICT,1396.5
20-Jul-23 4:00 AM ICT,1397.1
20-Jul-23 4:15 AM ICT,1397.7
20-Jul-23 4:30 AM ICT,1398.3
20-Jul-23 4:45 AM ICT,1398.9
20-Jul-23 5:00 AM ICT,1399.5
20-Jul-23 5:15 AM ICT,1392.0
20-Jul-23 5:30 AM ICT,1400.5
20-Jul-23 5:45 AM ICT,1400.8
20-Jul-23 6:00 AM ICT,1401.1
20-Jul-23 6:15 AM ICT,1401.5
20-Jul-23 6:30 AM ICT,1401.8
20-Jul-23 6:45 AM ICT,1402.2
20-Jul-23 7:00 AM ICT,1402.6
20-Jul-23 7:15 AM ICT,1403.1
20-Jul-23 7:30 AM ICT,1403.8
20-Jul-23 7:45 AM ICT,1404.8
20-Jul-23 8:00 AM ICT,1406.6
20-Jul-23 8:15 AM ICT,1412.1
20-Jul-23 8:30 AM ICT,1418.9
20-Jul-23 8:45 AM ICT,1426.1
20-Jul-23 9:00 AM ICT,1436.6
20-Jul-23 9:15 AM ICT,1447.8
20-Jul-23 9:30 AM ICT,1459.5
20-Jul-23 9:45 AM ICT,1474.1
20-Jul-23 10:00 AM ICT,1487.0
20-Jul-23 10:15 AM ICT,1499.7
20-Jul-23 10:30 AM ICT,1512.2
20-Jul-23 10:45 AM ICT,1525.5
20-Jul-23 11:00 AM ICT,1538.2
20-Jul-23 11:15 AM ICT,1552.7
20-Jul-23 11:30 AM ICT,1566.3
20-Jul-23 11:45 AM ICT,1583.8
20-Jul-23 12:00 PM ICT,1599.7
20-Jul-23 12:15 PM ICT,1609.7
20-Jul-23 12:30 PM ICT,1616.2
20-Jul-23 12:45 PM ICT,1622.8
20-Jul-23 1:00 PM ICT,1629.1
20-Jul-23 1:15 PM ICT,1638.4
20-Jul-23 1:30 PM ICT,1652.1
20-Jul-23 1:45 PM ICT,1665.0
20-Jul-23 2:00 PM ICT,1678.0
20-Jul-23 2:15 PM ICT,1692.7
20-Jul-23 2:30 PM ICT,1707.1
20-Jul-23 2:45 PM ICT,1720.0
20-Jul-23 3:00 PM ICT,1734.5
20-Jul-23 3:15 PM ICT,1748.6
20-Jul-23 3:30 PM ICT,1763.4
20-Jul-23 3:45 PM ICT,1778.1
20-Jul-23 4:00 PM ICT,1793.9
20-Jul-23 4:15 PM ICT,1811.1
20-Jul-23 4:30 PM ICT,1827.9
20-Jul-23 4:45 PM ICT,1842.6
20-Jul-23 5:00 PM ICT,1855.4
20-Jul-23 5:15 PM ICT,1858.5
20-Jul-23 5:30 PM ICT,1859.2
20-Jul-23 5:45 PM ICT,1859.7
20-Jul-23 6:00 PM ICT,1860.1
20-Jul-23 6:15 PM ICT,1860.6
20-Jul-23 6:30 PM ICT,1861.1
20-Jul-23 6:45 PM ICT,1861.6
20-Jul-23 7:00 PM ICT,1862.3
20-Jul-23 7:15 PM ICT,1863.0
20-Jul-23 7:30 PM ICT,1863.7
20-Jul-23 7:45 PM ICT,1864.4
20-Jul-23 8:00 PM ICT,1865.1
20-Jul-23 8:15 PM ICT,1865.7
20-Jul-23 8:30 PM ICT,1866.5
20-Jul-23 8:45 PM ICT,1867.2
20-Jul-23 9:00 PM ICT,1867.9
20-Jul-23 9:15 PM ICT,1868.6
20-Jul-23 9:30 PM ICT,1869.3
20-Jul-23 9:45 PM ICT,1870.0
20-Jul-23 10:00 PM ICT,1870.6
20-Jul-23 10:15 PM ICT,1871.3
20-Jul-23 10:30 PM ICT,1864.0
20-Jul-23 10:45 PM ICT,1872.7
20-Jul-23 11:00 PM ICT,1873.4
20-Jul-23 11:15 PM ICT,1874.0
20-Jul-23 11:30 PM ICT,1874.6
20-Jul-23 11:45 PM ICT,1875.3
21-Jul-23 12:00 AM ICT,1875.9
21-Jul-23 12:15 AM ICT,1876.5
21-Jul-23 12:30 AM ICT,1877.2
21-Jul-23 12:45 AM ICT,1877.8
21-Jul-23 1:00 AM ICT,1878.4
21-Jul-23 1:15 AM ICT,1879.0
21-Jul-23 1:30 AM ICT,1879.6
21-Jul-23 1:45 AM ICT,1880.1
21-Jul-23 2:00 AM ICT,1880.6
21-Jul-23 2:15 AM ICT,1881.2
21-Jul-23 2:30 AM ICT,1881.8
21-Jul-23 2:45 AM ICT,1882.3
21-Jul-23 3:00 AM ICT,1882.9
21-Jul-23 3:15 AM ICT,1883.4
21-Jul-23 3:30 AM ICT,1883.9
21-Jul-23 3:45 AM ICT,1884.4
21-Jul-23 4:00 AM ICT,1885.0
21-Jul-23 4:15 AM ICT,1885.5
21-Jul-23 4:30 AM ICT,1886.1
21-Jul-23 4:45 AM ICT,1886.6
21-Jul-23 5:00 AM ICT,1887.1
21-Jul-23 5:15 AM ICT,1887.6
21-Jul-23 5:30 AM ICT,1887.9
21-Jul-23 5:45 AM ICT,1888.3
21-Jul-23 6:00 AM ICT,1888.7
21-Jul-23 6:15 AM ICT,1889.1
21-Jul-23 6:30 AM ICT,1889.4
21-Jul-23 6:45 AM ICT,1889.8
21-Jul-23 7:00 AM ICT,1890.2
21-Jul-23 7:15 AM ICT,1890.6
21-Jul-23 7:30 AM ICT,1891.3
21-Jul-23 7:45 AM ICT,1892.3
21-Jul-23 8:00 AM ICT,1894.2
21-Jul-23 8:15 AM ICT,1899.4
21-Jul-23 8:30 AM ICT,1906.8
21-Jul-23 8:45 AM ICT,1916.0
21-Jul-23 9:00 AM ICT,1927.7
21-Jul-23 9:15 AM ICT,1940.8
21-Jul-23 9:30 AM ICT,1953.9
21-Jul-23 9:45 AM ICT,1968.7
21-Jul-23 10:00 AM ICT,1988.0
21-Jul-23 10:15 AM ICT,2004.5
21-Jul-23 10:30 AM ICT,2017.0
21-Jul-23 10:45 AM ICT,2030.7
21-Jul-23 11:00 AM ICT,2047.3
21-Jul-23 11:15 AM ICT,2067.4
21-Jul-23 11:30 AM ICT,2085.0
21-Jul-23 11:45 AM ICT,2100.7
21-Jul-23 12:00 PM ICT,2114.1
21-Jul-23 12:15 PM ICT,2123.1
21-Jul-23 12:30 PM ICT,2131.1
21-Jul-23 12:45 PM ICT,2138.9
21-Jul-23 1:00 PM ICT,2146.6
21-Jul-23 1:15 PM ICT,2156.5
21-Jul-23 1:30 PM ICT,2169.7
21-Jul-23 1:45 PM ICT,2184.8
21-Jul-23 2:00 PM ICT,2201.9
21-Jul-23 2:15 PM ICT,2220.3
