Timestamp,GS_Perday(kW-hr)
18-Jul-23 3:30 PM ICT,20.0
18-Jul-23 3:45 PM ICT,35.2
18-Jul-23 4:00 PM ICT,51.5
18-Jul-23 4:15 PM ICT,67.2
18-Jul-23 4:30 PM ICT,82.0
18-Jul-23 4:45 PM ICT,94.9
18-Jul-23 5:00 PM ICT,103.7
18-Jul-23 5:15 PM ICT,107.0
18-Jul-23 5:30 PM ICT,107.9
18-Jul-23 5:45 PM ICT,108.4
18-Jul-23 6:00 PM ICT,109.0
18-Jul-23 6:15 PM ICT,109.6
18-Jul-23 6:30 PM ICT,110.1
18-Jul-23 6:45 PM ICT,111.0
18-Jul-23 7:00 PM ICT,111.8
18-Jul-23 7:15 PM ICT,112.6
18-Jul-23 7:30 PM ICT,113.4
18-Jul-23 7:45 PM ICT,114.2
18-Jul-23 8:00 PM ICT,115.0
18-Jul-23 8:15 PM ICT,115.7
18-Jul-23 8:30 PM ICT,116.4
18-Jul-23 8:45 PM ICT,117.1
18-Jul-23 9:00 PM ICT,117.8
18-Jul-23 9:15 PM ICT,114.5
18-Jul-23 9:30 PM ICT,119.2
18-Jul-23 9:45 PM ICT,119.8
18-Jul-23 10:00 PM ICT,120.5
18-Jul-23 10:15 PM ICT,121.1
18-Jul-23 10:30 PM ICT,121.8
18-Jul-23 10:45 PM ICT,118.5
18-Jul-23 11:00 PM ICT,123.1
18-Jul-23 11:15 PM ICT,123.8
18-Jul-23 11:30 PM ICT,124.4
18-Jul-23 11:45 PM ICT,125.1
19-Jul-23 12:00 AM ICT,125.8
19-Jul-23 12:15 AM ICT, -3.3
19-Jul-23 12:30 AM ICT,1.4
19-Jul-23 12:45 AM ICT,2.0
19-Jul-23 1:00 AM ICT,2.7
19-Jul-23 1:15 AM ICT,3.3
19-Jul-23 1:30 AM ICT,4.0
19-Jul-23 1:45 AM ICT,4.6
19-Jul-23 2:00 AM ICT,5.3
19-Jul-23 2:15 AM ICT,5.9
19-Jul-23 2:30 AM ICT,6.6
19-Jul-23 2:45 AM ICT,7.2
19-Jul-23 3:00 AM ICT,7.8
19-Jul-23 3:15 AM ICT,8.3
19-Jul-23 3:30 AM ICT,8.9
19-Jul-23 3:45 AM ICT,9.5
19-Jul-23 4:00 AM ICT,10.0
19-Jul-23 4:15 AM ICT,10.6
19-Jul-23 4:30 AM ICT,11.2
19-Jul-23 4:45 AM ICT,11.7
19-Jul-23 5:00 AM ICT,12.3
19-Jul-23 5:15 AM ICT,12.8
19-Jul-23 5:30 AM ICT,13.2
19-Jul-23 5:45 AM ICT,13.5
19-Jul-23 6:00 AM ICT,13.8
19-Jul-23 6:15 AM ICT,14.1
19-Jul-23 6:30 AM ICT,14.4
19-Jul-23 6:45 AM ICT,14.7
19-Jul-23 7:00 AM ICT,15.0
19-Jul-23 7:15 AM ICT,15.4
19-Jul-23 7:30 AM ICT,16.1
19-Jul-23 7:45 AM ICT,16.9
19-Jul-23 8:00 AM ICT,19.3
19-Jul-23 8:15 AM ICT,22.8
19-Jul-23 8:30 AM ICT,29.6
19-Jul-23 8:45 AM ICT,39.8
19-Jul-23 9:00 AM ICT,49.2
19-Jul-23 9:15 AM ICT,61.3
19-Jul-23 9:30 AM ICT,75.9
19-Jul-23 9:45 AM ICT,92.1
19-Jul-23 10:00 AM ICT,106.6
