Timestamp,SURE_KWH(kW-hr)
18-Jul-23 2:45 PM ICT,299.9
18-Jul-23 3:00 PM ICT,302.6
18-Jul-23 3:15 PM ICT,305.3
18-Jul-23 3:30 PM ICT,308.2
18-Jul-23 3:45 PM ICT,310.4
18-Jul-23 4:00 PM ICT,312.5
18-Jul-23 4:15 PM ICT,314.7
18-Jul-23 4:30 PM ICT,316.7
18-Jul-23 4:45 PM ICT,318.6
18-Jul-23 5:00 PM ICT,320.3
18-Jul-23 5:15 PM ICT,320.5
18-Jul-23 5:30 PM ICT,320.6
18-Jul-23 5:45 PM ICT,320.7
18-Jul-23 6:00 PM ICT,320.8
18-Jul-23 6:15 PM ICT,321.0
18-Jul-23 6:30 PM ICT,321.1
18-Jul-23 6:45 PM ICT,321.3
18-Jul-23 7:00 PM ICT,321.6
18-Jul-23 7:15 PM ICT,322.0
18-Jul-23 7:30 PM ICT,322.3
18-Jul-23 7:45 PM ICT,322.6
18-Jul-23 8:00 PM ICT,322.9
18-Jul-23 8:15 PM ICT,323.2
18-Jul-23 8:30 PM ICT,323.5
18-Jul-23 8:45 PM ICT,323.7
18-Jul-23 9:00 PM ICT,323.9
18-Jul-23 9:15 PM ICT,324.1
18-Jul-23 9:30 PM ICT,324.3
18-Jul-23 9:45 PM ICT,324.5
18-Jul-23 10:00 PM ICT,324.7
18-Jul-23 10:15 PM ICT,324.9
18-Jul-23 10:30 PM ICT,325.1
18-Jul-23 10:45 PM ICT,325.3
18-Jul-23 11:00 PM ICT,325.5
18-Jul-23 11:15 PM ICT,325.7
18-Jul-23 11:30 PM ICT,325.9
18-Jul-23 11:45 PM ICT,326.1
19-Jul-23 12:00 AM ICT,326.3
19-Jul-23 12:15 AM ICT,326.5
19-Jul-23 12:30 AM ICT,326.7
19-Jul-23 12:45 AM ICT,326.9
19-Jul-23 1:00 AM ICT,327.0
19-Jul-23 1:15 AM ICT,327.2
19-Jul-23 1:30 AM ICT,327.4
19-Jul-23 1:45 AM ICT,327.6
19-Jul-23 2:00 AM ICT,327.8
19-Jul-23 2:15 AM ICT,328.0
19-Jul-23 2:30 AM ICT,328.2
19-Jul-23 2:45 AM ICT,328.4
19-Jul-23 3:00 AM ICT,328.6
19-Jul-23 3:15 AM ICT,328.8
19-Jul-23 3:30 AM ICT,329.0
19-Jul-23 3:45 AM ICT,329.1
19-Jul-23 4:00 AM ICT,329.3
19-Jul-23 4:15 AM ICT,329.5
19-Jul-23 4:30 AM ICT,329.6
19-Jul-23 4:45 AM ICT,329.8
19-Jul-23 5:00 AM ICT,330.0
19-Jul-23 5:15 AM ICT,330.1
19-Jul-23 5:30 AM ICT,330.2
19-Jul-23 5:45 AM ICT,330.3
19-Jul-23 6:00 AM ICT,330.4
19-Jul-23 6:15 AM ICT,330.5
19-Jul-23 6:30 AM ICT,330.6
19-Jul-23 6:45 AM ICT,330.7
19-Jul-23 7:00 AM ICT,330.8
19-Jul-23 7:15 AM ICT,330.9
19-Jul-23 7:30 AM ICT,331.0
19-Jul-23 7:45 AM ICT,331.3
19-Jul-23 8:00 AM ICT,331.5
19-Jul-23 8:15 AM ICT,332.5
19-Jul-23 8:30 AM ICT,334.0
19-Jul-23 8:45 AM ICT,336.1
19-Jul-23 9:00 AM ICT,337.9
19-Jul-23 9:15 AM ICT,339.9
19-Jul-23 9:30 AM ICT,342.0
19-Jul-23 9:45 AM ICT,344.3
19-Jul-23 10:00 AM ICT,346.4
19-Jul-23 10:15 AM ICT,348.7
19-Jul-23 10:30 AM ICT,350.8
19-Jul-23 10:45 AM ICT,353.0
19-Jul-23 11:00 AM ICT,355.3
19-Jul-23 11:15 AM ICT,357.3
19-Jul-23 11:30 AM ICT,359.6
19-Jul-23 11:45 AM ICT,361.1
19-Jul-23 12:00 PM ICT,362.5
19-Jul-23 12:15 PM ICT,363.9
19-Jul-23 12:30 PM ICT,365.1
19-Jul-23 12:45 PM ICT,366.4
19-Jul-23 1:00 PM ICT,367.7
19-Jul-23 1:15 PM ICT,369.4
19-Jul-23 1:30 PM ICT,372.2
19-Jul-23 1:45 PM ICT,374.7
19-Jul-23 2:00 PM ICT,377.2
19-Jul-23 2:15 PM ICT,379.5
19-Jul-23 2:30 PM ICT,381.7
19-Jul-23 2:45 PM ICT,384.0
19-Jul-23 3:00 PM ICT,386.0
19-Jul-23 3:15 PM ICT,388.3
19-Jul-23 3:30 PM ICT,390.9
19-Jul-23 3:45 PM ICT,392.8
19-Jul-23 4:00 PM ICT,395.2
19-Jul-23 4:15 PM ICT,397.1
19-Jul-23 4:30 PM ICT,399.6
19-Jul-23 4:45 PM ICT,401.6
19-Jul-23 5:00 PM ICT,403.3
19-Jul-23 5:15 PM ICT,403.6
19-Jul-23 5:30 PM ICT,403.7
19-Jul-23 5:45 PM ICT,403.9
19-Jul-23 6:00 PM ICT,404.1
19-Jul-23 6:15 PM ICT,404.3
19-Jul-23 6:30 PM ICT,404.5
19-Jul-23 6:45 PM ICT,404.8
19-Jul-23 7:00 PM ICT,405.2
19-Jul-23 7:15 PM ICT,405.6
19-Jul-23 7:30 PM ICT,405.9
19-Jul-23 7:45 PM ICT,406.3
19-Jul-23 8:00 PM ICT,406.6
19-Jul-23 8:15 PM ICT,407.0
19-Jul-23 8:30 PM ICT,407.4
19-Jul-23 8:45 PM ICT,407.6
19-Jul-23 9:00 PM ICT,407.8
19-Jul-23 9:15 PM ICT,408.0
19-Jul-23 9:30 PM ICT,408.2
19-Jul-23 9:45 PM ICT,408.5
19-Jul-23 10:00 PM ICT,408.7
19-Jul-23 10:15 PM ICT,408.9
19-Jul-23 10:30 PM ICT,409.1
19-Jul-23 10:45 PM ICT,409.3
19-Jul-23 11:00 PM ICT,409.5
19-Jul-23 11:15 PM ICT,409.8
19-Jul-23 11:30 PM ICT,410.0
19-Jul-23 11:45 PM ICT,410.2
20-Jul-23 12:00 AM ICT,410.4
20-Jul-23 12:15 AM ICT,410.6
