Timestamp,SURE_Perday(kW-hr)
18-Jul-23 3:30 PM ICT,4.0
18-Jul-23 3:45 PM ICT,6.2
18-Jul-23 4:00 PM ICT,8.3
18-Jul-23 4:15 PM ICT,10.5
18-Jul-23 4:30 PM ICT,12.6
18-Jul-23 4:45 PM ICT,14.4
18-Jul-23 5:00 PM ICT,16.1
18-Jul-23 5:15 PM ICT,16.3
18-Jul-23 5:30 PM ICT,16.4
18-Jul-23 5:45 PM ICT,16.5
18-Jul-23 6:00 PM ICT,16.6
18-Jul-23 6:15 PM ICT,16.8
18-Jul-23 6:30 PM ICT,16.9
18-Jul-23 6:45 PM ICT,17.1
18-Jul-23 7:00 PM ICT,17.5
18-Jul-23 7:15 PM ICT,17.8
18-Jul-23 7:30 PM ICT,18.1
18-Jul-23 7:45 PM ICT,18.4
18-Jul-23 8:00 PM ICT,18.7
18-Jul-23 8:15 PM ICT,19.1
18-Jul-23 8:30 PM ICT,19.4
18-Jul-23 8:45 PM ICT,19.5
18-Jul-23 9:00 PM ICT,19.7
18-Jul-23 9:15 PM ICT,19.9
18-Jul-23 9:30 PM ICT,20.1
18-Jul-23 9:45 PM ICT,20.3
18-Jul-23 10:00 PM ICT,20.5
18-Jul-23 10:15 PM ICT,20.7
18-Jul-23 10:30 PM ICT,20.9
18-Jul-23 10:45 PM ICT,21.1
18-Jul-23 11:00 PM ICT,21.3
18-Jul-23 11:15 PM ICT,21.5
18-Jul-23 11:30 PM ICT,21.7
18-Jul-23 11:45 PM ICT,21.9
19-Jul-23 12:00 AM ICT,22.1
19-Jul-23 12:15 AM ICT,0.2
19-Jul-23 12:30 AM ICT,0.4
19-Jul-23 12:45 AM ICT,0.6
19-Jul-23 1:00 AM ICT,0.7
19-Jul-23 1:15 AM ICT,0.9
19-Jul-23 1:30 AM ICT,1.2
19-Jul-23 1:45 AM ICT,1.4
19-Jul-23 2:00 AM ICT,1.5
19-Jul-23 2:15 AM ICT,1.7
19-Jul-23 2:30 AM ICT,1.9
19-Jul-23 2:45 AM ICT,2.1
19-Jul-23 3:00 AM ICT,2.3
19-Jul-23 3:15 AM ICT,2.5
