Timestamp,ShowRoom_KWH(kW-hr)
18-Jul-23 2:45 PM ICT,913.5
18-Jul-23 3:00 PM ICT,953.7
18-Jul-23 3:15 PM ICT,994.6
18-Jul-23 3:30 PM ICT,1037.1
18-Jul-23 3:45 PM ICT,1078.7
18-Jul-23 4:00 PM ICT,1119.3
18-Jul-23 4:15 PM ICT,1159.7
18-Jul-23 4:30 PM ICT,1199.9
18-Jul-23 4:45 PM ICT,1238.8
18-Jul-23 5:00 PM ICT,1266.8
18-Jul-23 5:15 PM ICT,1279.6
18-Jul-23 5:30 PM ICT,1287.6
18-Jul-23 5:45 PM ICT,1291.9
18-Jul-23 6:00 PM ICT,1295.6
18-Jul-23 6:15 PM ICT,1299.9
18-Jul-23 6:30 PM ICT,1302.9
18-Jul-23 6:45 PM ICT,1305.7
18-Jul-23 7:00 PM ICT,1308.9
18-Jul-23 7:15 PM ICT,1311.9
18-Jul-23 7:30 PM ICT,1315.0
18-Jul-23 7:45 PM ICT,1321.6
18-Jul-23 8:00 PM ICT,1331.5
18-Jul-23 8:15 PM ICT,1340.8
18-Jul-23 8:30 PM ICT,1350.2
18-Jul-23 8:45 PM ICT,1355.0
18-Jul-23 9:00 PM ICT,1357.7
18-Jul-23 9:15 PM ICT,1360.5
18-Jul-23 9:30 PM ICT,1363.2
18-Jul-23 9:45 PM ICT,1366.0
18-Jul-23 10:00 PM ICT,1369.1
18-Jul-23 10:15 PM ICT,1371.8
18-Jul-23 10:30 PM ICT,1374.5
18-Jul-23 10:45 PM ICT,1377.3
18-Jul-23 11:00 PM ICT,1379.9
18-Jul-23 11:15 PM ICT,1382.6
18-Jul-23 11:30 PM ICT,1385.4
18-Jul-23 11:45 PM ICT,1388.5
19-Jul-23 12:00 AM ICT,1391.1
19-Jul-23 12:15 AM ICT,1393.7
19-Jul-23 12:30 AM ICT,1396.3
19-Jul-23 12:45 AM ICT,1398.9
19-Jul-23 1:00 AM ICT,1401.6
19-Jul-23 1:15 AM ICT,1404.3
19-Jul-23 1:30 AM ICT,1407.1
19-Jul-23 1:45 AM ICT,1409.5
19-Jul-23 2:00 AM ICT,1411.8
19-Jul-23 2:15 AM ICT,1414.1
19-Jul-23 2:30 AM ICT,1416.5
19-Jul-23 2:45 AM ICT,1418.9
19-Jul-23 3:00 AM ICT,1421.1
19-Jul-23 3:15 AM ICT,1423.4
19-Jul-23 3:30 AM ICT,1425.7
19-Jul-23 3:45 AM ICT,1427.8
19-Jul-23 4:00 AM ICT,1430.0
19-Jul-23 4:15 AM ICT,1432.3
19-Jul-23 4:30 AM ICT,1434.5
19-Jul-23 4:45 AM ICT,1436.8
19-Jul-23 5:00 AM ICT,1439.2
19-Jul-23 5:15 AM ICT,1441.4
19-Jul-23 5:30 AM ICT,1443.5
19-Jul-23 5:45 AM ICT,1446.0
19-Jul-23 6:00 AM ICT,1448.7
19-Jul-23 6:15 AM ICT,1451.0
19-Jul-23 6:30 AM ICT,1453.1
19-Jul-23 6:45 AM ICT,1455.2
19-Jul-23 7:00 AM ICT,1457.3
19-Jul-23 7:15 AM ICT,1459.5
19-Jul-23 7:30 AM ICT,1465.9
19-Jul-23 7:45 AM ICT,1477.8
19-Jul-23 8:00 AM ICT,1509.1
19-Jul-23 8:15 AM ICT,1545.6
19-Jul-23 8:30 AM ICT,1582.1
19-Jul-23 8:45 AM ICT,1620.1
19-Jul-23 9:00 AM ICT,1660.5
19-Jul-23 9:15 AM ICT,1701.4
19-Jul-23 9:30 AM ICT,1741.9
19-Jul-23 9:45 AM ICT,1789.4
19-Jul-23 10:00 AM ICT,1835.3
19-Jul-23 10:15 AM ICT,1881.7
19-Jul-23 10:30 AM ICT,1926.5
19-Jul-23 10:45 AM ICT,1968.7
19-Jul-23 11:00 AM ICT,2008.9
19-Jul-23 11:15 AM ICT,2049.6
19-Jul-23 11:30 AM ICT,2089.1
19-Jul-23 11:45 AM ICT,2126.8
19-Jul-23 12:00 PM ICT,2165.8
19-Jul-23 12:15 PM ICT,2203.3
19-Jul-23 12:30 PM ICT,2239.2
19-Jul-23 12:45 PM ICT,2275.5
19-Jul-23 1:00 PM ICT,2310.2
19-Jul-23 1:15 PM ICT,2347.0
19-Jul-23 1:30 PM ICT,2386.5
19-Jul-23 1:45 PM ICT,2426.7
19-Jul-23 2:00 PM ICT,2469.9
19-Jul-23 2:15 PM ICT,2512.7
19-Jul-23 2:30 PM ICT,2553.5
19-Jul-23 2:45 PM ICT,2594.7
19-Jul-23 3:00 PM ICT,2635.8
19-Jul-23 3:15 PM ICT,2675.0
19-Jul-23 3:30 PM ICT,2714.5
19-Jul-23 3:45 PM ICT,2753.4
19-Jul-23 4:00 PM ICT,2793.9
19-Jul-23 4:15 PM ICT,2833.6
19-Jul-23 4:30 PM ICT,2874.5
19-Jul-23 4:45 PM ICT,2913.6
19-Jul-23 5:00 PM ICT,2947.8
19-Jul-23 5:15 PM ICT,2966.0
19-Jul-23 5:30 PM ICT,2978.1
19-Jul-23 5:45 PM ICT,2984.6
19-Jul-23 6:00 PM ICT,2988.4
19-Jul-23 6:15 PM ICT,2991.3
19-Jul-23 6:30 PM ICT,2994.1
19-Jul-23 6:45 PM ICT,2997.3
19-Jul-23 7:00 PM ICT,3000.4
19-Jul-23 7:15 PM ICT,3003.4
19-Jul-23 7:30 PM ICT,3006.5
19-Jul-23 7:45 PM ICT,3009.7
19-Jul-23 8:00 PM ICT,3012.8
19-Jul-23 8:15 PM ICT,3016.5
19-Jul-23 8:30 PM ICT,3019.3
19-Jul-23 8:45 PM ICT,3022.2
19-Jul-23 9:00 PM ICT,3025.0
19-Jul-23 9:15 PM ICT,3027.9
19-Jul-23 9:30 PM ICT,3030.7
19-Jul-23 9:45 PM ICT,3033.6
19-Jul-23 10:00 PM ICT,3036.5
19-Jul-23 10:15 PM ICT,3039.7
19-Jul-23 10:30 PM ICT,3042.3
19-Jul-23 10:45 PM ICT,3044.9
19-Jul-23 11:00 PM ICT,3047.5
19-Jul-23 11:15 PM ICT,3050.2
19-Jul-23 11:30 PM ICT,3053.0
19-Jul-23 11:45 PM ICT,3055.7
