Timestamp,ShowRoom_Perday(kW-hr)
18-Jul-23 3:30 PM ICT,66.0
18-Jul-23 3:45 PM ICT,107.6
18-Jul-23 4:00 PM ICT,148.2
18-Jul-23 4:15 PM ICT,188.6
18-Jul-23 4:30 PM ICT,228.8
18-Jul-23 4:45 PM ICT,267.7
18-Jul-23 5:00 PM ICT,295.7
18-Jul-23 5:15 PM ICT,308.5
18-Jul-23 5:30 PM ICT,316.5
18-Jul-23 5:45 PM ICT,320.8
18-Jul-23 6:00 PM ICT,324.5
18-Jul-23 6:15 PM ICT,328.7
18-Jul-23 6:30 PM ICT,331.8
18-Jul-23 6:45 PM ICT,334.6
18-Jul-23 7:00 PM ICT,337.8
18-Jul-23 7:15 PM ICT,340.8
18-Jul-23 7:30 PM ICT,343.9
18-Jul-23 7:45 PM ICT,350.5
18-Jul-23 8:00 PM ICT,360.4
18-Jul-23 8:15 PM ICT,369.7
18-Jul-23 8:30 PM ICT,379.0
18-Jul-23 8:45 PM ICT,383.9
18-Jul-23 9:00 PM ICT,386.6
18-Jul-23 9:15 PM ICT,389.3
18-Jul-23 9:30 PM ICT,392.1
18-Jul-23 9:45 PM ICT,394.9
18-Jul-23 10:00 PM ICT,398.0
18-Jul-23 10:15 PM ICT,400.7
18-Jul-23 10:30 PM ICT,403.4
18-Jul-23 10:45 PM ICT,406.1
18-Jul-23 11:00 PM ICT,408.8
18-Jul-23 11:15 PM ICT,411.5
18-Jul-23 11:30 PM ICT,414.2
18-Jul-23 11:45 PM ICT,417.4
19-Jul-23 12:00 AM ICT,420.0
19-Jul-23 12:15 AM ICT,2.6
19-Jul-23 12:30 AM ICT,5.3
19-Jul-23 12:45 AM ICT,7.8
19-Jul-23 1:00 AM ICT,10.5
19-Jul-23 1:15 AM ICT,13.2
19-Jul-23 1:30 AM ICT,16.1
19-Jul-23 1:45 AM ICT,18.4
19-Jul-23 2:00 AM ICT,20.7
19-Jul-23 2:15 AM ICT,23.0
19-Jul-23 2:30 AM ICT,25.4
19-Jul-23 2:45 AM ICT,27.8
19-Jul-23 3:00 AM ICT,30.1
19-Jul-23 3:15 AM ICT,32.4
19-Jul-23 3:30 AM ICT,34.6
19-Jul-23 3:45 AM ICT,36.7
19-Jul-23 4:00 AM ICT,39.0
19-Jul-23 4:15 AM ICT,41.2
19-Jul-23 4:30 AM ICT,43.4
19-Jul-23 4:45 AM ICT,45.8
19-Jul-23 5:00 AM ICT,48.1
19-Jul-23 5:15 AM ICT,50.3
19-Jul-23 5:30 AM ICT,52.4
19-Jul-23 5:45 AM ICT,55.0
19-Jul-23 6:00 AM ICT,57.6
19-Jul-23 6:15 AM ICT,59.9
19-Jul-23 6:30 AM ICT,62.0
19-Jul-23 6:45 AM ICT,64.1
19-Jul-23 7:00 AM ICT,66.2
19-Jul-23 7:15 AM ICT,68.5
19-Jul-23 7:30 AM ICT,74.8
19-Jul-23 7:45 AM ICT,86.5
19-Jul-23 8:00 AM ICT,118.0
19-Jul-23 8:15 AM ICT,154.5
19-Jul-23 8:30 AM ICT,191.0
19-Jul-23 8:45 AM ICT,229.0
19-Jul-23 9:00 AM ICT,269.4
19-Jul-23 9:15 AM ICT,310.4
19-Jul-23 9:30 AM ICT,350.8
19-Jul-23 9:45 AM ICT,398.4
19-Jul-23 10:00 AM ICT,444.2
19-Jul-23 10:15 AM ICT,490.7
19-Jul-23 10:30 AM ICT,535.5
19-Jul-23 10:45 AM ICT,577.6
19-Jul-23 11:00 AM ICT,617.8
19-Jul-23 11:15 AM ICT,658.5
19-Jul-23 11:30 AM ICT,698.1
19-Jul-23 11:45 AM ICT,735.8
19-Jul-23 12:00 PM ICT,774.7
19-Jul-23 12:15 PM ICT,812.3
19-Jul-23 12:30 PM ICT,848.1
19-Jul-23 12:45 PM ICT,884.5
19-Jul-23 1:00 PM ICT,919.1
19-Jul-23 1:15 PM ICT,955.9
19-Jul-23 1:30 PM ICT,995.4
19-Jul-23 1:45 PM ICT,1035.6
19-Jul-23 2:00 PM ICT,1078.8
19-Jul-23 2:15 PM ICT,1121.7
19-Jul-23 2:30 PM ICT,1162.5
19-Jul-23 2:45 PM ICT,1203.7
19-Jul-23 3:00 PM ICT,1244.8
19-Jul-23 3:15 PM ICT,1283.9
19-Jul-23 3:30 PM ICT,1323.5
19-Jul-23 3:45 PM ICT,1362.3
19-Jul-23 4:00 PM ICT,1402.9
19-Jul-23 4:15 PM ICT,1442.6
19-Jul-23 4:30 PM ICT,1483.5
19-Jul-23 4:45 PM ICT,1522.5
19-Jul-23 5:00 PM ICT,1556.6
19-Jul-23 5:15 PM ICT,1574.9
19-Jul-23 5:30 PM ICT,1587.0
19-Jul-23 5:45 PM ICT,1593.6
19-Jul-23 6:00 PM ICT,1597.3
19-Jul-23 6:15 PM ICT,1600.2
19-Jul-23 6:30 PM ICT,1603.0
19-Jul-23 6:45 PM ICT,1606.3
19-Jul-23 7:00 PM ICT,1609.3
19-Jul-23 7:15 PM ICT,1612.3
19-Jul-23 7:30 PM ICT,1615.5
19-Jul-23 7:45 PM ICT,1618.7
19-Jul-23 8:00 PM ICT,1621.7
19-Jul-23 8:15 PM ICT,1625.4
19-Jul-23 8:30 PM ICT,1628.3
19-Jul-23 8:45 PM ICT,1631.1
19-Jul-23 9:00 PM ICT,1634.0
19-Jul-23 9:15 PM ICT,1636.8
19-Jul-23 9:30 PM ICT,1639.7
19-Jul-23 9:45 PM ICT,1642.5
19-Jul-23 10:00 PM ICT,1645.5
19-Jul-23 10:15 PM ICT,1648.6
19-Jul-23 10:30 PM ICT,1651.2
19-Jul-23 10:45 PM ICT,1653.8
19-Jul-23 11:00 PM ICT,1656.5
19-Jul-23 11:15 PM ICT,1659.2
19-Jul-23 11:30 PM ICT,1662.0
19-Jul-23 11:45 PM ICT,1664.6
20-Jul-23 12:00 AM ICT,1667.6
20-Jul-23 12:15 AM ICT,3.0
20-Jul-23 12:30 AM ICT,5.6
20-Jul-23 12:45 AM ICT,8.2
20-Jul-23 1:00 AM ICT,10.9
20-Jul-23 1:15 AM ICT,13.5
20-Jul-23 1:30 AM ICT,16.0
20-Jul-23 1:45 AM ICT,18.7
20-Jul-23 2:00 AM ICT,21.0
20-Jul-23 2:15 AM ICT,23.3
20-Jul-23 2:30 AM ICT,25.6
20-Jul-23 2:45 AM ICT,27.9
20-Jul-23 3:00 AM ICT,30.1
20-Jul-23 3:15 AM ICT,32.4
20-Jul-23 3:30 AM ICT,34.5
20-Jul-23 3:45 AM ICT,36.8
20-Jul-23 4:00 AM ICT,39.1
20-Jul-23 4:15 AM ICT,41.5
20-Jul-23 4:30 AM ICT,43.8
20-Jul-23 4:45 AM ICT,46.1
20-Jul-23 5:00 AM ICT,48.4
20-Jul-23 5:15 AM ICT,50.9
20-Jul-23 5:30 AM ICT,53.0
20-Jul-23 5:45 AM ICT,55.4
20-Jul-23 6:00 AM ICT,58.0
20-Jul-23 6:15 AM ICT,60.6
20-Jul-23 6:30 AM ICT,63.0
20-Jul-23 6:45 AM ICT,65.8
20-Jul-23 7:00 AM ICT,68.6
20-Jul-23 7:15 AM ICT,71.2
20-Jul-23 7:30 AM ICT,81.9
20-Jul-23 7:45 AM ICT,100.9
20-Jul-23 8:00 AM ICT,139.6
20-Jul-23 8:15 AM ICT,179.0
20-Jul-23 8:30 AM ICT,219.0
20-Jul-23 8:45 AM ICT,265.2
20-Jul-23 9:00 AM ICT,310.7
20-Jul-23 9:15 AM ICT,356.2
20-Jul-23 9:30 AM ICT,399.6
20-Jul-23 9:45 AM ICT,440.6
20-Jul-23 10:00 AM ICT,482.1
20-Jul-23 10:15 AM ICT,522.6
20-Jul-23 10:30 AM ICT,564.7
20-Jul-23 10:45 AM ICT,603.8
20-Jul-23 11:00 AM ICT,641.6
20-Jul-23 11:15 AM ICT,680.0
20-Jul-23 11:30 AM ICT,717.5
20-Jul-23 11:45 AM ICT,753.1
20-Jul-23 12:00 PM ICT,788.9
20-Jul-23 12:15 PM ICT,823.2
20-Jul-23 12:30 PM ICT,856.4
20-Jul-23 12:45 PM ICT,890.4
20-Jul-23 1:15 PM ICT,961.8
20-Jul-23 1:30 PM ICT,999.6
20-Jul-23 1:45 PM ICT,1040.6
20-Jul-23 2:00 PM ICT,1080.9
20-Jul-23 2:15 PM ICT,1120.6
20-Jul-23 2:30 PM ICT,1159.7
20-Jul-23 2:45 PM ICT,1200.5
20-Jul-23 3:00 PM ICT,1242.2
20-Jul-23 3:15 PM ICT,1280.9
20-Jul-23 3:30 PM ICT,1321.6
20-Jul-23 3:45 PM ICT,1359.6
20-Jul-23 4:00 PM ICT,1403.3
20-Jul-23 4:15 PM ICT,1445.0
20-Jul-23 4:30 PM ICT,1484.4
20-Jul-23 4:45 PM ICT,1522.0
20-Jul-23 5:00 PM ICT,1554.6
20-Jul-23 5:15 PM ICT,1569.9
20-Jul-23 5:30 PM ICT,1576.6
20-Jul-23 5:45 PM ICT,1582.5
20-Jul-23 6:00 PM ICT,1593.7
20-Jul-23 6:15 PM ICT,1603.5
20-Jul-23 6:30 PM ICT,1613.0
20-Jul-23 6:45 PM ICT,1619.7
20-Jul-23 7:00 PM ICT,1624.8
20-Jul-23 7:15 PM ICT,1629.3
20-Jul-23 7:30 PM ICT,1632.4
20-Jul-23 7:45 PM ICT,1635.4
20-Jul-23 8:00 PM ICT,1638.8
20-Jul-23 8:15 PM ICT,1641.7
20-Jul-23 8:30 PM ICT,1644.6
20-Jul-23 8:45 PM ICT,1647.3
20-Jul-23 9:00 PM ICT,1650.0
20-Jul-23 9:15 PM ICT,1652.7
20-Jul-23 9:30 PM ICT,1655.5
20-Jul-23 9:45 PM ICT,1658.1
20-Jul-23 10:00 PM ICT,1660.4
20-Jul-23 10:15 PM ICT,1662.8
20-Jul-23 10:30 PM ICT,1665.1
20-Jul-23 10:45 PM ICT,1667.3
20-Jul-23 11:00 PM ICT,1669.6
20-Jul-23 11:15 PM ICT,1671.9
20-Jul-23 11:30 PM ICT,1674.1
20-Jul-23 11:45 PM ICT,1676.3
21-Jul-23 12:00 AM ICT,1678.5
21-Jul-23 12:15 AM ICT,2.2
21-Jul-23 12:30 AM ICT,4.4
21-Jul-23 12:45 AM ICT,6.6
21-Jul-23 1:00 AM ICT,8.9
21-Jul-23 1:15 AM ICT,11.3
21-Jul-23 1:30 AM ICT,13.8
21-Jul-23 1:45 AM ICT,16.1
21-Jul-23 2:00 AM ICT,18.5
21-Jul-23 2:15 AM ICT,20.8
21-Jul-23 2:30 AM ICT,23.1
21-Jul-23 2:45 AM ICT,25.5
21-Jul-23 3:00 AM ICT,27.7
21-Jul-23 3:15 AM ICT,30.0
21-Jul-23 3:30 AM ICT,32.4
21-Jul-23 3:45 AM ICT,34.7
21-Jul-23 4:00 AM ICT,36.9
21-Jul-23 4:15 AM ICT,39.1
21-Jul-23 4:30 AM ICT,41.4
21-Jul-23 4:45 AM ICT,43.7
21-Jul-23 5:00 AM ICT,46.0
21-Jul-23 5:15 AM ICT,48.1
21-Jul-23 5:30 AM ICT,50.4
21-Jul-23 5:45 AM ICT,52.8
21-Jul-23 6:00 AM ICT,55.3
21-Jul-23 6:15 AM ICT,57.8
21-Jul-23 6:30 AM ICT,59.9
21-Jul-23 6:45 AM ICT,62.4
21-Jul-23 7:00 AM ICT,65.1
21-Jul-23 7:15 AM ICT,69.1
21-Jul-23 7:30 AM ICT,92.6
21-Jul-23 7:45 AM ICT,121.4
21-Jul-23 8:00 AM ICT,153.4
21-Jul-23 8:15 AM ICT,186.3
21-Jul-23 8:30 AM ICT,216.4
21-Jul-23 8:45 AM ICT,254.2
21-Jul-23 9:00 AM ICT,291.5
21-Jul-23 9:15 AM ICT,324.1
21-Jul-23 9:30 AM ICT,358.9
21-Jul-23 9:45 AM ICT,395.7
21-Jul-23 10:00 AM ICT,431.6
21-Jul-23 10:15 AM ICT,470.1
21-Jul-23 10:30 AM ICT,512.3
21-Jul-23 10:45 AM ICT,552.8
21-Jul-23 11:00 AM ICT,591.2
21-Jul-23 11:15 AM ICT,628.0
21-Jul-23 11:30 AM ICT,663.3
21-Jul-23 11:45 AM ICT,696.4
21-Jul-23 12:00 PM ICT,730.8
21-Jul-23 12:15 PM ICT,765.3
21-Jul-23 12:30 PM ICT,798.2
21-Jul-23 12:45 PM ICT,828.9
21-Jul-23 1:00 PM ICT,858.2
21-Jul-23 1:15 PM ICT,888.9
21-Jul-23 1:30 PM ICT,923.0
21-Jul-23 1:45 PM ICT,958.3
21-Jul-23 2:00 PM ICT,997.0
21-Jul-23 2:15 PM ICT,1037.3
21-Jul-23 2:30 PM ICT,1076.7
21-Jul-23 2:45 PM ICT,1114.7
21-Jul-23 3:00 PM ICT,1152.3
21-Jul-23 3:15 PM ICT,1191.8
21-Jul-23 3:30 PM ICT,1233.2
21-Jul-23 3:45 PM ICT,1273.9
21-Jul-23 4:00 PM ICT,1317.0
21-Jul-23 4:15 PM ICT,1357.7
21-Jul-23 4:30 PM ICT,1395.7
21-Jul-23 4:45 PM ICT,1433.7
21-Jul-23 5:00 PM ICT,1457.2
21-Jul-23 5:15 PM ICT,1470.5
21-Jul-23 5:30 PM ICT,1480.0
21-Jul-23 5:45 PM ICT,1485.5
21-Jul-23 6:00 PM ICT,1489.2
21-Jul-23 6:15 PM ICT,1491.9
21-Jul-23 6:30 PM ICT,1494.7
21-Jul-23 6:45 PM ICT,1497.5
21-Jul-23 7:00 PM ICT,1500.4
21-Jul-23 7:15 PM ICT,1503.2
21-Jul-23 7:30 PM ICT,1506.0
21-Jul-23 7:45 PM ICT,1509.4
21-Jul-23 8:00 PM ICT,1512.4
21-Jul-23 8:15 PM ICT,1515.2
21-Jul-23 8:30 PM ICT,1517.9
21-Jul-23 8:45 PM ICT,1520.4
21-Jul-23 9:00 PM ICT,1522.9
21-Jul-23 9:15 PM ICT,1525.4
21-Jul-23 9:30 PM ICT,1527.8
