Timestamp,VM_KW(kW)
16-Aug-23 10:30 AM ICT,26.4
16-Aug-23 10:35 AM ICT,25.9
16-Aug-23 10:40 AM ICT,27.2
16-Aug-23 10:45 AM ICT,34.0
16-Aug-23 10:50 AM ICT,36.7
16-Aug-23 10:55 AM ICT,35.3
16-Aug-23 11:00 AM ICT,36.3
16-Aug-23 11:05 AM ICT,34.4
16-Aug-23 11:10 AM ICT,33.8
16-Aug-23 11:15 AM ICT,35.1
16-Aug-23 11:20 AM ICT,34.9
16-Aug-23 11:25 AM ICT,35.3
16-Aug-23 11:30 AM ICT,32.9
16-Aug-23 11:35 AM ICT,30.8
16-Aug-23 11:40 AM ICT,31.2
16-Aug-23 11:45 AM ICT,28.4
16-Aug-23 11:50 AM ICT,27.8
16-Aug-23 11:55 AM ICT,27.6
16-Aug-23 12:00 PM ICT,28.2
16-Aug-23 12:05 PM ICT,27.9
16-Aug-23 12:10 PM ICT,28.4
16-Aug-23 12:15 PM ICT,28.2
16-Aug-23 12:20 PM ICT,28.7
16-Aug-23 12:25 PM ICT,28.7
16-Aug-23 12:30 PM ICT,27.8
16-Aug-23 12:35 PM ICT,27.6
16-Aug-23 12:40 PM ICT,26.9
16-Aug-23 12:45 PM ICT,28.0
16-Aug-23 12:50 PM ICT,26.5
16-Aug-23 12:55 PM ICT,27.0
16-Aug-23 1:00 PM ICT,28.3
16-Aug-23 1:05 PM ICT,27.4
16-Aug-23 1:10 PM ICT,30.6
16-Aug-23 1:15 PM ICT,37.2
16-Aug-23 1:20 PM ICT,37.4
16-Aug-23 1:25 PM ICT,35.5
16-Aug-23 1:30 PM ICT,29.9
16-Aug-23 1:35 PM ICT,31.9
16-Aug-23 1:40 PM ICT,33.3
16-Aug-23 1:45 PM ICT,33.6
16-Aug-23 1:50 PM ICT,35.2
16-Aug-23 1:55 PM ICT,32.3
16-Aug-23 2:00 PM ICT,31.5
16-Aug-23 2:05 PM ICT,31.5
16-Aug-23 2:10 PM ICT,30.8
16-Aug-23 2:15 PM ICT,31.3
16-Aug-23 2:20 PM ICT,34.7
16-Aug-23 2:25 PM ICT,33.9
16-Aug-23 2:30 PM ICT,31.8
16-Aug-23 2:35 PM ICT,33.3
16-Aug-23 2:40 PM ICT,33.5
16-Aug-23 2:45 PM ICT,30.5
16-Aug-23 2:50 PM ICT,29.5
16-Aug-23 2:55 PM ICT,30.4
16-Aug-23 3:00 PM ICT,28.0
16-Aug-23 3:05 PM ICT,29.3
16-Aug-23 3:10 PM ICT,29.9
16-Aug-23 3:15 PM ICT,29.7
16-Aug-23 3:20 PM ICT,29.9
16-Aug-23 3:25 PM ICT,29.8
16-Aug-23 3:30 PM ICT,32.0
16-Aug-23 3:35 PM ICT,31.6
16-Aug-23 3:40 PM ICT,29.6
16-Aug-23 3:45 PM ICT,28.5
16-Aug-23 3:50 PM ICT,26.4
16-Aug-23 3:55 PM ICT,27.8
16-Aug-23 4:00 PM ICT,28.5
16-Aug-23 4:05 PM ICT,27.5
16-Aug-23 4:10 PM ICT,29.0
16-Aug-23 4:15 PM ICT,29.4
16-Aug-23 4:20 PM ICT,28.5
16-Aug-23 4:25 PM ICT,28.1
16-Aug-23 4:30 PM ICT,27.2
16-Aug-23 4:35 PM ICT,27.9
16-Aug-23 4:40 PM ICT,26.9
16-Aug-23 4:45 PM ICT,17.4
16-Aug-23 4:50 PM ICT,17.8
16-Aug-23 4:55 PM ICT,15.1
16-Aug-23 5:00 PM ICT,10.1
16-Aug-23 5:05 PM ICT,4.7
16-Aug-23 5:10 PM ICT,3.7
16-Aug-23 5:15 PM ICT,3.1
16-Aug-23 5:20 PM ICT,3.0
16-Aug-23 5:25 PM ICT,2.9
16-Aug-23 5:30 PM ICT,2.9
16-Aug-23 5:35 PM ICT,2.3
16-Aug-23 5:40 PM ICT,2.1
16-Aug-23 5:45 PM ICT,2.0
16-Aug-23 5:50 PM ICT,2.0
16-Aug-23 5:55 PM ICT,1.9
16-Aug-23 6:00 PM ICT,1.9
16-Aug-23 6:05 PM ICT,2.0
16-Aug-23 6:10 PM ICT,2.0
16-Aug-23 6:15 PM ICT,2.0
16-Aug-23 6:20 PM ICT,2.4
16-Aug-23 6:25 PM ICT,3.1
16-Aug-23 6:30 PM ICT,3.0
16-Aug-23 6:35 PM ICT,3.0
16-Aug-23 6:40 PM ICT,3.2
16-Aug-23 6:45 PM ICT,3.2
16-Aug-23 6:50 PM ICT,3.1
16-Aug-23 6:55 PM ICT,3.1
16-Aug-23 7:00 PM ICT,2.3
16-Aug-23 7:05 PM ICT,2.2
16-Aug-23 7:10 PM ICT,2.1
16-Aug-23 7:15 PM ICT,2.1
16-Aug-23 7:20 PM ICT,2.1
