Timestamp,VM_KWH(kW-hr)
18-Jul-23 2:45 PM ICT,1228.8
18-Jul-23 3:00 PM ICT,1243.8
18-Jul-23 3:15 PM ICT,1259.2
18-Jul-23 3:30 PM ICT,1275.4
18-Jul-23 3:45 PM ICT,1281.3
18-Jul-23 4:00 PM ICT,1288.3
18-Jul-23 4:15 PM ICT,1294.7
18-Jul-23 4:30 PM ICT,1301.8
18-Jul-23 4:45 PM ICT,1309.0
18-Jul-23 5:00 PM ICT,1314.1
18-Jul-23 5:15 PM ICT,1316.0
18-Jul-23 5:30 PM ICT,1316.3
18-Jul-23 5:45 PM ICT,1316.6
18-Jul-23 6:00 PM ICT,1316.9
18-Jul-23 6:15 PM ICT,1317.2
18-Jul-23 6:30 PM ICT,1317.5
18-Jul-23 6:45 PM ICT,1318.0
18-Jul-23 7:00 PM ICT,1318.6
18-Jul-23 7:15 PM ICT,1319.3
18-Jul-23 7:30 PM ICT,1319.9
18-Jul-23 7:45 PM ICT,1320.6
18-Jul-23 8:00 PM ICT,1321.2
18-Jul-23 8:15 PM ICT,1321.8
18-Jul-23 8:30 PM ICT,1322.3
18-Jul-23 8:45 PM ICT,1322.9
18-Jul-23 9:00 PM ICT,1323.4
18-Jul-23 9:15 PM ICT,1324.0
18-Jul-23 9:30 PM ICT,1324.6
18-Jul-23 9:45 PM ICT,1325.1
18-Jul-23 10:00 PM ICT,1325.7
18-Jul-23 10:15 PM ICT,1326.2
18-Jul-23 10:30 PM ICT,1326.8
18-Jul-23 10:45 PM ICT,1327.4
18-Jul-23 11:00 PM ICT,1327.9
18-Jul-23 11:15 PM ICT,1328.5
18-Jul-23 11:30 PM ICT,1329.0
18-Jul-23 11:45 PM ICT,1329.6
19-Jul-23 12:00 AM ICT,1330.2
19-Jul-23 12:15 AM ICT,1330.8
19-Jul-23 12:30 AM ICT,1331.4
19-Jul-23 12:45 AM ICT,1331.9
19-Jul-23 1:00 AM ICT,1332.4
19-Jul-23 1:15 AM ICT,1333.0
19-Jul-23 1:30 AM ICT,1333.5
19-Jul-23 1:45 AM ICT,1334.1
19-Jul-23 2:00 AM ICT,1334.6
19-Jul-23 2:15 AM ICT,1335.1
19-Jul-23 2:30 AM ICT,1335.7
19-Jul-23 2:45 AM ICT,1336.2
19-Jul-23 3:00 AM ICT,1336.7
19-Jul-23 3:15 AM ICT,1337.3
19-Jul-23 3:30 AM ICT,1337.8
19-Jul-23 3:45 AM ICT,1338.4
19-Jul-23 4:00 AM ICT,1338.9
