Timestamp,VM_Perday(kW-hr)
18-Jul-23 3:30 PM ICT,21.4
18-Jul-23 3:45 PM ICT,27.2
18-Jul-23 4:00 PM ICT,34.2
18-Jul-23 4:15 PM ICT,40.6
18-Jul-23 4:30 PM ICT,47.7
18-Jul-23 4:45 PM ICT,54.9
18-Jul-23 5:00 PM ICT,60.0
18-Jul-23 5:15 PM ICT,62.0
18-Jul-23 5:30 PM ICT,62.3
18-Jul-23 5:45 PM ICT,62.5
18-Jul-23 6:00 PM ICT,62.8
18-Jul-23 6:15 PM ICT,63.2
18-Jul-23 6:30 PM ICT,63.4
18-Jul-23 6:45 PM ICT,64.0
18-Jul-23 7:00 PM ICT,64.6
18-Jul-23 7:15 PM ICT,65.2
18-Jul-23 7:30 PM ICT,65.8
18-Jul-23 7:45 PM ICT,66.5
18-Jul-23 8:00 PM ICT,67.1
18-Jul-23 8:15 PM ICT,67.7
18-Jul-23 8:30 PM ICT,68.2
18-Jul-23 8:45 PM ICT,68.8
18-Jul-23 9:00 PM ICT,69.4
18-Jul-23 9:15 PM ICT,69.9
18-Jul-23 9:30 PM ICT,70.5
18-Jul-23 9:45 PM ICT,71.1
18-Jul-23 10:00 PM ICT,71.6
18-Jul-23 10:15 PM ICT,72.1
18-Jul-23 10:30 PM ICT,72.7
18-Jul-23 10:45 PM ICT,73.3
18-Jul-23 11:00 PM ICT,73.8
18-Jul-23 11:15 PM ICT,74.4
18-Jul-23 11:30 PM ICT,74.9
18-Jul-23 11:45 PM ICT,75.5
19-Jul-23 12:00 AM ICT,76.1
19-Jul-23 12:15 AM ICT,0.6
19-Jul-23 12:30 AM ICT,1.2
19-Jul-23 12:45 AM ICT,1.7
19-Jul-23 1:00 AM ICT,2.3
19-Jul-23 1:15 AM ICT,2.8
19-Jul-23 1:30 AM ICT,3.3
19-Jul-23 1:45 AM ICT,3.9
19-Jul-23 2:00 AM ICT,4.4
19-Jul-23 2:15 AM ICT,4.9
19-Jul-23 2:30 AM ICT,5.5
19-Jul-23 2:45 AM ICT,6.0
19-Jul-23 3:00 AM ICT,6.6
19-Jul-23 3:15 AM ICT,7.1
19-Jul-23 3:30 AM ICT,7.7
19-Jul-23 3:45 AM ICT,8.2
19-Jul-23 4:00 AM ICT,8.8
19-Jul-23 4:15 AM ICT,9.3
19-Jul-23 4:30 AM ICT,9.8
19-Jul-23 4:45 AM ICT,10.3
19-Jul-23 5:00 AM ICT,10.9
19-Jul-23 5:15 AM ICT,11.4
19-Jul-23 5:30 AM ICT,11.8
19-Jul-23 5:45 AM ICT,11.9
19-Jul-23 6:00 AM ICT,12.1
19-Jul-23 6:15 AM ICT,12.3
19-Jul-23 6:30 AM ICT,12.6
19-Jul-23 6:45 AM ICT,12.8
19-Jul-23 7:00 AM ICT,13.1
19-Jul-23 7:15 AM ICT,13.3
19-Jul-23 7:30 AM ICT,13.5
19-Jul-23 7:45 AM ICT,13.8
19-Jul-23 8:00 AM ICT,15.9
19-Jul-23 8:15 AM ICT,18.3
19-Jul-23 8:30 AM ICT,20.7
19-Jul-23 8:45 AM ICT,25.3
19-Jul-23 9:00 AM ICT,29.5
19-Jul-23 9:15 AM ICT,35.3
19-Jul-23 9:30 AM ICT,42.0
19-Jul-23 9:45 AM ICT,48.5
19-Jul-23 10:00 AM ICT,55.1
19-Jul-23 10:15 AM ICT,61.0
19-Jul-23 10:30 AM ICT,67.5
19-Jul-23 10:45 AM ICT,74.2
19-Jul-23 11:00 AM ICT,80.4
19-Jul-23 11:15 AM ICT,86.3
19-Jul-23 11:30 AM ICT,92.3
19-Jul-23 11:45 AM ICT,99.0
19-Jul-23 12:00 PM ICT,105.4
19-Jul-23 12:15 PM ICT,111.4
19-Jul-23 12:30 PM ICT,116.9
19-Jul-23 12:45 PM ICT,122.8
19-Jul-23 1:00 PM ICT,128.3
19-Jul-23 1:15 PM ICT,134.1
19-Jul-23 1:30 PM ICT,140.0
19-Jul-23 1:45 PM ICT,146.2
19-Jul-23 2:00 PM ICT,152.1
19-Jul-23 2:15 PM ICT,159.0
19-Jul-23 2:30 PM ICT,166.2
19-Jul-23 2:45 PM ICT,173.1
19-Jul-23 3:00 PM ICT,178.9
19-Jul-23 3:15 PM ICT,184.2
19-Jul-23 3:30 PM ICT,189.0
19-Jul-23 3:45 PM ICT,194.3
19-Jul-23 4:00 PM ICT,199.3
19-Jul-23 4:15 PM ICT,203.9
19-Jul-23 4:30 PM ICT,208.2
19-Jul-23 4:45 PM ICT,212.8
19-Jul-23 5:00 PM ICT,217.2
19-Jul-23 5:15 PM ICT,219.3
19-Jul-23 5:30 PM ICT,219.7
19-Jul-23 5:45 PM ICT,219.9
19-Jul-23 6:00 PM ICT,220.2
19-Jul-23 6:15 PM ICT,220.5
19-Jul-23 6:30 PM ICT,220.8
19-Jul-23 6:45 PM ICT,221.1
19-Jul-23 7:00 PM ICT,221.7
19-Jul-23 7:15 PM ICT,222.3
19-Jul-23 7:30 PM ICT,222.8
19-Jul-23 7:45 PM ICT,223.4
19-Jul-23 8:00 PM ICT,224.0
19-Jul-23 8:15 PM ICT,224.5
19-Jul-23 8:30 PM ICT,225.1
19-Jul-23 8:45 PM ICT,225.6
19-Jul-23 9:00 PM ICT,226.2
19-Jul-23 9:15 PM ICT,226.8
19-Jul-23 9:30 PM ICT,227.3
19-Jul-23 9:45 PM ICT,227.9
19-Jul-23 10:00 PM ICT,228.4
19-Jul-23 10:15 PM ICT,229.0
19-Jul-23 10:30 PM ICT,229.5
19-Jul-23 10:45 PM ICT,230.1
19-Jul-23 11:00 PM ICT,230.6
19-Jul-23 11:15 PM ICT,231.2
19-Jul-23 11:30 PM ICT,231.8
19-Jul-23 11:45 PM ICT,232.4
20-Jul-23 12:00 AM ICT,232.9
20-Jul-23 12:15 AM ICT,0.6
20-Jul-23 12:30 AM ICT,1.2
