Timestamp,ACE_KW,BP_KW,EV_KW,GS_KW,ShowRoomKW,SURE_KW,VM_KW
2023-07-18 14:15:00,63.6,22.1,0.1,64.9,152.3,7.5,67.6
2023-07-18 14:20:00,63.6,27.5,0.1,66.8,148.3,11.7,67.6
2023-07-18 14:25:00,61.6,25.8,0.1,64.1,154.8,9.7,71.3
2023-07-18 14:30:00,55.9,24.3,0.1,63.2,150.3,9.8,75.4
2023-07-18 14:35:00,57.8,28.2,0.1,63.8,155.9,9.7,70.4
2023-07-18 14:40:00,62.2,32.6,0.1,56.3,153.5,9.1,66.0
2023-07-18 14:45:00,66.7,37.7,0.1,56.3,160.9,12.7,59.7
2023-07-18 14:50:00,70.5,36.8,0.1,55.7,167.6,9.2,63.1
2023-07-18 14:55:00,59.5,31.6,0.1,53.6,155.0,10.2,58.1
2023-07-18 15:00:00,66.8,34.7,0.1,49.4,153.6,8.3,57.2
2023-07-18 15:05:00,74.7,28.8,0.1,54.4,169.6,11.8,61.1
2023-07-18 15:10:00,78.0,36.1,0.1,53.0,165.8,12.5,66.5
2023-07-18 15:15:00,74.7,31.8,0.1,55.5,173.8,11.5,74.6
2023-07-18 15:20:00,77.0,47.8,0.1,58.1,170.2,14.2,68.5
2023-07-18 15:25:00,117.5,50.3,0.1,63.7,168.5,8.9,52.2
2023-07-18 15:30:00,118.7,54.3,0.1,60.7,163.1,9.1,23.4
2023-07-18 15:35:00,121.0,42.7,0.0,60.1,167.9,10.6,23.0
2023-07-18 15:40:00,123.0,43.2,0.1,61.2,167.8,6.9,23.4
2023-07-18 15:45:00,124.3,39.0,0.2,65.3,160.2,9.1,25.9
2023-07-18 15:50:00,121.8,48.3,0.1,65.2,168.3,7.4,27.6
2023-07-18 15:55:00,92.6,37.5,0.2,65.0,158.7,8.6,30.8
2023-07-18 16:00:00,56.2,34.0,0.2,65.2,160.7,7.8,27.3
2023-07-18 16:05:00,108.1,45.1,0.2,64.1,163.6,10.1,24.8
2023-07-18 16:10:00,92.0,28.3,0.1,58.4,162.2,8.2,24.9
2023-07-18 16:15:00,63.0,34.7,0.1,57.1,164.7,9.2,28.2
2023-07-18 16:20:00,66.3,49.3,0.1,60.9,156.0,7.2,28.6
2023-07-18 16:25:00,15.6,45.0,0.2,60.1,162.0,8.5,28.9
2023-07-18 16:30:00,13.3,39.4,0.1,56.1,156.0,6.3,28.9
2023-07-18 16:35:00,27.1,36.0,0.2,54.5,159.5,8.2,31.4
2023-07-18 16:40:00,28.0,15.4,0.1,43.9,152.6,7.1,25.8
2023-07-18 16:45:00,24.8,33.5,0.1,39.0,152.2,10.8,24.6
2023-07-18 16:50:00,22.9,21.9,0.1,35.2,108.0,6.1,21.0
2023-07-18 16:55:00,20.9,9.4,0.1,30.6,74.0,3.6,16.0
2023-07-18 17:00:00,24.0,5.1,0.0,24.0,62.8,1.3,13.3
2023-07-18 17:05:00,25.0,1.4,0.0,10.5,48.9,0.5,7.2
2023-07-18 17:10:00,27.2,1.0,0.0,5.3,41.3,0.7,2.9
2023-07-18 17:15:00,31.1,1.0,0.0,5.0,36.4,0.5,1.4
2023-07-18 17:20:00,27.2,0.9,0.0,3.0,33.3,0.4,1.1
2023-07-18 17:25:00,23.8,0.8,0.0,2.4,27.2,0.4,1.1
2023-07-18 17:30:00,22.7,0.8,0.0,2.6,22.2,0.4,1.0
2023-07-18 17:35:00,21.8,0.8,0.0,2.3,15.2,0.4,1.0
2023-07-18 17:40:00,21.2,0.8,0.0,2.1,14.0,0.5,1.1
2023-07-18 17:45:00,19.5,0.8,0.0,2.2,15.1,0.7,1.2
2023-07-18 17:50:00,16.2,0.8,0.0,2.1,15.5,0.5,1.2
2023-07-18 17:55:00,13.7,0.8,0.0,2.1,13.7,0.5,1.2
2023-07-18 18:00:00,11.8,0.8,0.0,3.0,15.2,0.5,1.5
2023-07-18 18:05:00,10.3,0.8,0.0,2.5,18.4,0.6,1.5
2023-07-18 18:10:00,8.6,0.8,0.0,2.0,17.7,0.4,1.1
2023-07-18 18:15:00,6.5,1.2,0.0,2.2,15.2,0.4,1.1
2023-07-18 18:20:00,4.4,1.2,0.0,2.2,11.8,0.8,1.1
2023-07-18 18:25:00,2.8,1.2,0.0,2.1,10.2,0.6,1.0
2023-07-18 18:30:00,1.5,1.2,0.0,3.7,11.2,0.6,1.8
2023-07-18 18:35:00,0.4,1.3,0.0,3.1,11.2,0.8,2.2
2023-07-18 18:40:00,0.2,1.3,0.0,3.2,11.3,1.1,2.4
2023-07-18 18:45:00,0.6,1.1,0.0,3.4,12.9,1.2,2.4
2023-07-18 18:50:00,0.6,0.5,0.0,3.2,11.9,1.2,2.4
2023-07-18 18:55:00,0.4,0.5,0.1,3.2,13.0,1.4,2.4
2023-07-18 19:00:00,0.4,0.5,0.0,3.2,12.1,1.2,2.5
2023-07-18 19:05:00,0.5,0.5,0.0,3.2,11.7,1.3,2.4
2023-07-18 19:10:00,0.7,0.5,0.1,3.3,13.0,1.4,2.5
2023-07-18 19:15:00,0.7,0.5,0.1,3.3,12.5,1.3,2.6
