Timestamp,BP_KWH,EV_KWH,GS_KWH,SURE_KWH,VM_KWH,ACE_KWH,ShowRoom_KWH
18-Jul-23 2:45 PM ICT,230.4,1.1,727.9,299.9,1228.8,1469.6,913.5
18-Jul-23 3:00 PM ICT,239.9,1.1,741.6,302.6,1243.8,1485.6,953.7
18-Jul-23 3:15 PM ICT,248.0,1.0,754.7,305.3,1259.2,1501.6,994.6
18-Jul-23 3:30 PM ICT,258.8,1.0,769.5,308.2,1275.4,1525.6,1037.1
18-Jul-23 3:45 PM ICT,270.4,1.0,784.8,310.4,1281.3,1557.6,1078.7
18-Jul-23 4:00 PM ICT,324.9,1.0,801.0,312.5,1288.3,1581.6,1119.3
18-Jul-23 4:15 PM ICT,333.9,0.9,816.7,314.7,1294.7,1605.6,1159.7
18-Jul-23 4:30 PM ICT,344.8,0.9,831.6,316.7,1301.8,1613.8,1199.9
18-Jul-23 4:45 PM ICT,350.4,0.9,844.5,318.6,1309.0,1623.5,1238.8
18-Jul-23 5:00 PM ICT,357.7,0.9,853.2,320.3,1314.1,1631.5,1266.8
18-Jul-23 5:15 PM ICT,356.4,0.9,856.5,320.5,1316.0,1639.5,1279.6
18-Jul-23 5:30 PM ICT,356.6,0.9,857.4,320.6,1316.3,1639.5,1287.6
18-Jul-23 5:45 PM ICT,358.8,0.9,858.0,320.7,1316.6,1647.5,1291.9
18-Jul-23 6:00 PM ICT,359.0,0.9,858.5,320.8,1316.9,1655.5,1295.6
18-Jul-23 6:15 PM ICT,359.2,0.9,859.1,321.0,1317.2,1655.5,1299.9
18-Jul-23 6:30 PM ICT,359.5,0.9,859.7,321.1,1317.5,1655.5,1302.9
18-Jul-23 6:45 PM ICT,359.8,0.9,860.5,321.3,1318.0,1650.6,1305.7
18-Jul-23 7:00 PM ICT,360.0,0.8,861.3,321.6,1318.6,1654.8,1308.9
18-Jul-23 7:15 PM ICT,358.1,0.8,862.1,322.0,1319.3,1649.7,1311.9
18-Jul-23 7:30 PM ICT,358.2,0.8,863.0,322.3,1319.9,1649.9,1315.0
18-Jul-23 7:45 PM ICT,358.4,4.2,863.8,322.6,1320.6,1653.6,1321.6
