Timestamp,ACE_Perday,BP_Perday,EV_Perday,GS_Perday,SURE_Perday,ShowRoom_Perday,VM_Perday
18-Jul-23 3:30 PM ICT,24.0,14.5,-0.0,20.0,4.0,66.0,21.4
18-Jul-23 3:45 PM ICT,56.0,26.2,-0.0,35.2,6.2,107.6,27.2
18-Jul-23 4:00 PM ICT,80.0,80.7,-0.1,51.5,8.3,148.2,34.2
18-Jul-23 4:15 PM ICT,104.0,89.7,-0.1,67.2,10.5,188.6,40.6
18-Jul-23 4:30 PM ICT,112.3,100.5,-0.2,82.0,12.6,228.8,47.7
18-Jul-23 4:45 PM ICT,121.9,106.1,-0.2,94.9,14.4,267.7,54.9
18-Jul-23 5:00 PM ICT,129.9,113.5,-0.2,103.7,16.1,295.7,60.0
18-Jul-23 5:15 PM ICT,137.9,112.1,-0.2,107.0,16.3,308.5,62.0
18-Jul-23 5:30 PM ICT,137.9,112.4,-0.2,107.9,16.4,316.5,62.3
18-Jul-23 5:45 PM ICT,145.9,114.6,-0.2,108.4,16.5,320.8,62.5
18-Jul-23 6:00 PM ICT,153.9,114.8,-0.2,109.0,16.6,324.5,62.8
18-Jul-23 6:15 PM ICT,153.9,115.0,-0.2,109.6,16.8,328.7,63.2
18-Jul-23 6:30 PM ICT,153.9,115.3,-0.2,110.1,16.9,331.8,63.4
18-Jul-23 6:45 PM ICT,149.0,115.6,-0.2,111.0,17.1,334.6,64.0
18-Jul-23 7:00 PM ICT,153.2,115.8,-0.2,111.8,17.5,337.8,64.6
18-Jul-23 7:15 PM ICT,148.2,113.9,-0.2,112.6,17.8,340.8,65.2
18-Jul-23 7:30 PM ICT,148.4,114.0,-0.2,113.4,18.1,343.9,65.8
18-Jul-23 7:45 PM ICT,152.1,114.1,3.2,114.2,18.4,350.5,66.5
18-Jul-23 8:00 PM ICT,153.2,114.3,9.5,115.0,18.7,360.4,67.1
18-Jul-23 8:15 PM ICT,151.2,114.4,15.9,115.7,19.1,369.7,67.7
18-Jul-23 8:30 PM ICT,151.2,114.5,22.4,116.4,19.4,379.0,68.2
18-Jul-23 8:45 PM ICT,152.6,114.6,24.6,117.1,19.5,383.9,68.8
18-Jul-23 9:00 PM ICT,148.4,116.8,24.6,117.8,19.7,386.6,69.4
18-Jul-23 9:15 PM ICT,151.4,116.9,24.6,114.5,19.9,389.3,69.9
18-Jul-23 9:30 PM ICT,151.8,117.0,24.6,119.2,20.1,392.1,70.5
18-Jul-23 9:45 PM ICT,146.8,117.2,24.6,119.8,20.3,394.9,71.1
18-Jul-23 10:00 PM ICT,148.9,117.3,24.7,120.5,20.5,398.0,71.6
18-Jul-23 10:15 PM ICT,149.7,117.4,24.7,121.1,20.7,400.7,72.1
18-Jul-23 10:30 PM ICT,152.7,117.5,24.7,121.8,20.9,403.4,72.7
18-Jul-23 10:45 PM ICT,152.6,117.6,24.7,118.5,21.1,406.1,73.3
18-Jul-23 11:00 PM ICT,147.5,117.8,24.7,123.1,21.3,408.8,73.8
18-Jul-23 11:15 PM ICT,150.1,117.9,24.6,123.8,21.5,411.5,74.4
18-Jul-23 11:30 PM ICT,151.0,116.0,24.6,124.4,21.7,414.2,74.9
18-Jul-23 11:45 PM ICT,150.9,116.1,24.6,125.1,21.9,417.4,75.5
19-Jul-23 12:00 AM ICT,147.4,116.2,24.6,125.8,22.1,420.0,76.1
19-Jul-23 12:15 AM ICT,1.0,0.1,0.0,-3.3,0.2,2.6,0.6
19-Jul-23 12:30 AM ICT,2.6,0.2,0.0,1.4,0.4,5.3,1.2
19-Jul-23 12:45 AM ICT,5.2,0.4,0.0,2.0,0.6,7.8,1.7
19-Jul-23 1:00 AM ICT,6.0,0.5,0.0,2.7,0.7,10.5,2.3
19-Jul-23 1:15 AM ICT,0.8,0.6,0.0,3.3,0.9,13.2,2.8
19-Jul-23 1:30 AM ICT,-0.4,0.7,0.0,4.0,1.2,16.1,3.3
19-Jul-23 1:45 AM ICT,1.9,0.8,0.1,4.6,1.4,18.4,3.9
19-Jul-23 2:00 AM ICT,2.6,3.0,0.1,5.3,1.5,20.7,4.4
19-Jul-23 2:15 AM ICT,3.8,3.1,0.1,5.9,1.7,23.0,4.9
19-Jul-23 2:30 AM ICT,-1.4,3.2,0.1,6.6,1.9,25.4,5.5
19-Jul-23 2:45 AM ICT,-6.0,3.3,-0.0,7.2,2.1,27.8,6.0
19-Jul-23 3:00 AM ICT,-5.4,3.5,-0.0,7.8,2.3,30.1,6.6
19-Jul-23 3:15 AM ICT,-4.5,3.6,-0.0,8.3,2.5,32.4,7.1
19-Jul-23 3:30 AM ICT,-2.3,1.7,-0.0,8.9,2.7,34.6,7.7
19-Jul-23 3:45 AM ICT,-6.8,1.8,-0.0,9.5,2.8,36.7,8.2
